,person,cantidad_checkouts,cantidad_conversions,tasa_cc,cantidad_lead,cantidad_searchs,month_moda,favorite_device_Computer,favorite_device_Smartphone,favorite_device_Tablet,favorite_device_Unknown
51,bb78c182,1.0,,,,,5,1,0,0,0
52,e2bfe05f,1.0,,,,1.0,5,1,0,0,0
53,e6c21c98,1.0,,,,7.0,5,0,1,0,0
54,83f6fb70,3.0,2.0,0.6666666666666666,,14.0,5,1,0,0,0
55,0e9d0ae2,1.0,,,,,5,0,1,0,0
56,cb68850c,1.0,,,,5.0,5,0,1,0,0
57,f30ef764,1.0,,,,10.0,5,0,1,0,0
58,ca5fa859,1.0,,,,,5,0,1,0,0
59,4f06f2dd,1.0,,,,,5,1,0,0,0
60,872d9b83,,,,,2.0,5,1,0,0,0
61,dca7e4fa,1.0,,,,,5,1,0,0,0
62,18489dd5,10.0,,,,314.0,5,0,1,0,0
63,f389e5ef,1.0,,,,1.0,5,0,0,0,1
64,566b70c7,1.0,,,,,5,0,0,0,0
65,3cb2bfc5,1.0,,,,,5,1,0,0,0
66,0ec008ff,,,,,,5,1,0,0,0
67,19876c5b,5.0,1.0,0.2,,,5,1,0,0,0
68,47710d5d,4.0,2.0,0.5,,8.0,5,0,1,0,0
69,36606944,1.0,1.0,1.0,,3.0,5,1,0,0,0
70,3c36c384,1.0,,,,9.0,5,0,1,0,0
71,25ec69e5,1.0,,,,,5,0,1,0,0
72,02a9fd4c,3.0,1.0,0.3333333333333333,,2.0,5,1,0,0,0
73,77edab49,1.0,,,,,5,0,1,0,0
74,e9c847d7,1.0,,,,3.0,5,0,1,0,0
75,cf26e7dd,1.0,,,,6.0,5,0,1,0,0
76,8f7d334b,1.0,,,,1.0,5,0,1,0,0
77,fd683087,5.0,1.0,0.2,,7.0,5,0,1,0,0
78,aa5593bc,6.0,,,,5.0,5,0,1,0,0
79,2f628db1,,,,,3.0,5,1,0,0,0
80,e39a4b4f,4.0,,,,,5,0,1,0,0
81,b6ff254a,2.0,,,,3.0,5,0,1,0,0
82,8aeb37ef,7.0,,,,,5,1,0,0,0
83,4030bc9c,,,,,,5,0,1,0,0
84,78c4ca18,2.0,,,,2.0,5,0,1,0,0
85,0204dcec,1.0,,,,7.0,5,0,1,0,0
86,99c11fb0,,,,,16.0,5,0,1,0,0
87,d383e068,,,,,,5,1,0,0,0
88,c76b8417,12.0,,,,491.0,5,0,1,0,0
89,5cc1dc20,1.0,,,,,5,0,1,0,0
90,17c183c9,2.0,,,2.0,6.0,5,0,1,0,0
91,b51c3897,1.0,1.0,1.0,,,5,1,0,0,0
92,49013e40,5.0,,,,35.0,5,0,1,0,0
93,18ad1f7c,1.0,,,,,5,0,1,0,0
94,ea679233,,,,,,5,1,0,0,0
95,1b373281,19.0,,,15.0,14.0,1,0,1,0,0
96,39df97e0,4.0,3.0,0.75,,29.0,5,0,1,0,0
97,d471ab7a,4.0,1.0,0.25,,3.0,5,1,0,0,0
98,4473cb91,2.0,,,,,5,0,1,0,0
99,a90bb821,3.0,,,,,5,0,1,0,0
100,66f3c5a8,1.0,,,,2.0,5,0,1,0,0
101,dedf1377,1.0,,,,,5,0,1,0,0
102,6972936f,1.0,,,,,5,0,1,0,0
103,f484e20b,,,,,,4,0,1,0,0
104,78a17666,5.0,,,,14.0,5,1,0,0,0
105,bb5c496a,1.0,,,,,5,0,1,0,0
106,fa15dd75,11.0,2.0,0.18181818181818182,,,5,0,1,0,0
107,8036d563,1.0,,,,,5,0,1,0,0
108,051b11a7,2.0,,,,1.0,5,0,1,0,0
109,a708f6b7,3.0,,,,,5,0,1,0,0
110,aa86dd13,2.0,,,,,5,0,1,0,0
111,8af64425,1.0,1.0,1.0,,61.0,5,1,0,0,0
112,290a4ade,1.0,,,,,5,1,0,0,0
113,5ea8fd22,1.0,,,,,5,0,1,0,0
114,73f02c61,2.0,,,,2.0,5,0,1,0,0
115,e6b2354d,7.0,,,,9.0,5,0,1,0,0
116,b364ac0f,2.0,,,,,5,1,0,0,0
117,27c4deeb,2.0,,,,,5,0,1,0,0
118,575ad645,1.0,,,,2.0,5,1,0,0,0
119,380c0e60,9.0,2.0,0.2222222222222222,,24.0,5,0,1,0,0
120,6b90483e,2.0,,,,,5,1,0,0,0
121,cd9179bb,6.0,,,,8.0,5,0,1,0,0
122,1a8f3e6d,3.0,,,,,5,1,0,0,0
123,d95f3759,3.0,1.0,0.3333333333333333,,22.0,5,1,0,0,0
124,df151fff,,,,,,5,1,0,0,0
125,68939997,1.0,,,,,5,0,1,0,0
126,a6c7358d,1.0,,,,107.0,5,0,1,0,0
127,75aea7ed,1.0,,,,,5,1,0,0,0
128,57a26b97,2.0,3.0,1.5,,2.0,5,1,0,0,0
129,68bee360,5.0,,,,1.0,5,0,1,0,0
130,e6b78c34,10.0,1.0,0.1,,,5,0,1,0,0
131,e4d9f5e2,1.0,1.0,1.0,,,5,1,0,0,0
132,7363f782,2.0,1.0,0.5,,2.0,5,0,1,0,0
133,5f5a1be2,1.0,,,,,5,1,0,0,0
134,2fa65383,1.0,,,,,5,0,1,0,0
135,f2ab91ec,1.0,1.0,1.0,,22.0,5,0,1,0,0
136,f7e13865,6.0,,,,90.0,5,0,1,0,0
137,f70a331b,1.0,1.0,1.0,,4.0,5,1,0,0,0
138,49fffa02,,,,,2.0,5,1,0,0,0
139,69fe770b,2.0,,,,,5,1,0,0,0
140,73b5ddeb,6.0,1.0,0.16666666666666666,4.0,,5,1,0,0,0
141,26855b91,4.0,,,,,5,1,0,0,0
142,fadfa4be,,1.0,,,,5,1,0,0,0
143,85b68a3f,9.0,1.0,0.1111111111111111,,,5,0,1,0,0
144,3aae4375,3.0,,,,,5,0,1,0,0
145,10206a98,1.0,,,,,5,0,1,0,0
146,66fe40df,1.0,,,,,5,1,0,0,0
147,2beddf66,1.0,,,,2.0,5,0,1,0,0
148,b2194067,3.0,1.0,0.3333333333333333,,1.0,5,0,1,0,0
149,b3cab894,1.0,,,,,5,1,0,0,0
150,17b858f9,1.0,,,,3.0,5,0,1,0,0
151,f75b14e8,2.0,,,,,5,0,1,0,0
152,67ec6a13,,,,,,5,0,1,0,0
153,448ec8f9,2.0,,,,,5,0,1,0,0
154,83e7b706,11.0,2.0,0.18181818181818182,,8.0,5,1,0,0,0
155,7f198108,1.0,,,,,5,0,1,0,0
156,65db54a5,1.0,,,,8.0,5,0,1,0,0
157,adaa9274,,,,,1.0,5,1,0,0,0
158,2466dcee,,,,,,5,1,0,0,0
159,bbac557c,1.0,,,,8.0,5,0,1,0,0
160,571a9f5c,1.0,,,,,5,0,1,0,0
161,13587a1e,1.0,,,,,5,0,1,0,0
162,feeb5b65,1.0,,,,6.0,5,0,1,0,0
163,57d078f9,,,,,2.0,5,1,0,0,0
164,6791adff,2.0,1.0,0.5,,,5,1,0,0,0
165,2596d1cf,1.0,,,,,5,0,1,0,0
166,0b54d2aa,4.0,,,,1.0,5,1,0,0,0
167,c0d67259,,,,,,5,1,0,0,0
168,2fca45c7,6.0,4.0,0.6666666666666666,,9.0,5,0,1,0,0
169,eb39eec0,9.0,,,,,4,0,1,0,0
170,3d52f0ca,4.0,,,,22.0,5,0,1,0,0
171,ee7d1909,1.0,,,,20.0,5,1,0,0,0
172,9474919f,1.0,,,,,5,0,1,0,0
173,b87bf3c0,14.0,1.0,0.07142857142857142,2.0,47.0,3,0,1,0,0
174,229a0726,4.0,,,,9.0,5,0,1,0,0
175,e28fa553,2.0,1.0,0.5,,27.0,5,1,0,0,0
176,e2d69e04,1.0,,,,,5,1,0,0,0
177,f99328eb,1.0,,,,,5,1,0,0,0
178,7a98e5bb,1.0,,,,,5,0,1,0,0
179,99a29f1c,2.0,,,,10.0,5,0,1,0,0
180,6f4de109,12.0,,,,10.0,5,1,0,0,0
181,ad8cebac,2.0,2.0,1.0,,11.0,5,1,0,0,0
182,60d720a3,1.0,,,,,5,1,0,0,0
183,8f6d708a,1.0,,,,11.0,5,0,1,0,0
184,8d8b76a6,3.0,,,,,5,0,1,0,0
185,4157ce5c,1.0,,,,,5,0,1,0,0
186,3fd161b1,,,,,3.0,5,0,1,0,0
187,91a293e8,4.0,1.0,0.25,,5.0,4,1,0,0,0
188,54e0c518,1.0,,,,50.0,5,0,1,0,0
189,1d389b2e,1.0,,,,,5,0,1,0,0
190,ad4976a0,1.0,,,,,5,1,0,0,0
191,dbff7610,2.0,,,,,5,1,0,0,0
192,c104bc78,4.0,3.0,0.75,,89.0,5,0,1,0,0
193,b3bf2435,12.0,6.0,0.5,,11.0,5,1,0,0,0
194,7a1b40b7,1.0,,,,5.0,5,1,0,0,0
195,8611216e,4.0,,,,2.0,5,0,1,0,0
196,560e7db4,5.0,2.0,0.4,,2.0,5,0,1,0,0
197,2454293c,1.0,,,,41.0,5,0,1,0,0
198,0af42006,,,,,,5,1,0,0,0
199,82d31364,1.0,,,,,5,1,0,0,0
200,1a898f43,1.0,,,,,5,0,1,0,0
201,f1f2d6aa,1.0,,,,2.0,5,1,0,0,0
202,f16503b1,1.0,,,,12.0,5,1,0,0,0
203,45a66d74,3.0,,,1.0,,5,0,1,0,0
204,45599974,7.0,2.0,0.2857142857142857,,5.0,5,1,0,0,0
205,b8112306,1.0,,,,,5,1,0,0,0
206,7e317918,1.0,,,,,5,1,0,0,0
207,5577775a,9.0,2.0,0.2222222222222222,,13.0,5,1,0,0,0
208,dd2ed1b6,4.0,,,,8.0,5,1,0,0,0
209,0fe5d58d,3.0,,,,3.0,5,0,1,0,0
210,a30504be,1.0,,,,,5,0,1,0,0
211,18a1de79,2.0,,,,,5,1,0,0,0
212,f88200f4,5.0,1.0,0.2,,,5,1,0,0,0
213,d180a63f,,,,,,5,1,0,0,0
214,97267956,1.0,,,,55.0,5,0,1,0,0
215,2fec9bbc,12.0,1.0,0.08333333333333333,,,5,1,0,0,0
216,c7fb76e9,1.0,,,,,5,0,1,0,0
217,05ad382c,1.0,,,,2.0,5,1,0,0,0
218,4e5d317d,1.0,,,,1.0,5,0,1,0,0
219,db9e8233,3.0,,,2.0,6.0,5,0,1,0,0
220,7f721016,1.0,,,,,5,0,1,0,0
221,b65be4d3,10.0,,,,,5,0,1,0,0
222,aaed7b2e,1.0,,,,17.0,5,0,1,0,0
223,f8e37457,3.0,1.0,0.3333333333333333,,,5,1,0,0,0
224,9411a009,10.0,,,,,5,0,1,0,0
225,166bf528,,,,,,5,0,1,0,0
226,5429fbb6,1.0,,,,,5,0,1,0,0
227,fe1f24ff,1.0,,,,8.0,5,1,0,0,0
228,49ff6d6e,2.0,,,,,5,1,0,0,0
229,1adea052,1.0,,,,1.0,5,0,1,0,0
230,0fe5b0f4,1.0,,,,,5,0,1,0,0
231,19c94e0b,3.0,,,,26.0,5,1,0,0,0
232,2a727bb0,4.0,2.0,0.5,,,5,1,0,0,0
233,0ff75b46,,,,,,5,1,0,0,0
234,c7fba740,1.0,,,,12.0,5,1,0,0,0
235,224613bb,2.0,1.0,0.5,,,5,1,0,0,0
236,cd7b5c8e,2.0,,,,,5,1,0,0,0
237,179720f1,3.0,1.0,0.3333333333333333,,,5,1,0,0,0
238,ff9a58dd,1.0,,,,,5,1,0,0,0
239,1070bca3,2.0,,,,,5,0,1,0,0
240,a5d31df5,2.0,,,,,5,1,0,0,0
241,4e5c868d,6.0,,,,9.0,5,0,1,0,0
242,653f68fe,1.0,,,,,5,1,0,0,0
243,3ebc771d,,,,,,5,0,1,0,0
244,c4012f15,,,,,,5,1,0,0,0
245,517bf648,,,,,,5,1,0,0,0
246,254f8761,5.0,,,,3.0,4,1,0,0,0
247,043a4def,1.0,,,,,5,0,1,0,0
248,ef68bea1,2.0,1.0,0.5,,9.0,5,0,1,0,0
249,c844a662,,,,,6.0,4,0,1,0,0
250,7f6c85e8,1.0,,,,3.0,5,0,1,0,0
251,77397f7b,,,,,,5,1,0,0,0
252,e4aedddc,2.0,1.0,0.5,,,5,1,0,0,0
253,35ee0cc8,39.0,12.0,0.3076923076923077,,4.0,4,0,1,0,0
254,4b66b31e,3.0,1.0,0.3333333333333333,,2.0,5,1,0,0,0
255,125b4a32,1.0,,,,,5,0,1,0,0
256,c1d99fe2,2.0,,,,,5,1,0,0,0
257,1b2b8210,1.0,,,,,5,1,0,0,0
258,55fc24ef,4.0,1.0,0.25,,1.0,5,1,0,0,0
259,77e489c7,1.0,,,,2.0,5,1,0,0,0
260,62ba2fba,1.0,,,,,5,0,1,0,0
261,ae4bfc26,2.0,,,,12.0,5,0,1,0,0
262,22f1d021,3.0,,,,8.0,5,1,0,0,0
263,774cbcf2,3.0,,,,,5,0,1,0,0
264,72368746,1.0,,,,,5,1,0,0,0
265,aca95b2b,1.0,,,,,5,1,0,0,0
266,a944289b,2.0,2.0,1.0,,5.0,5,1,0,0,0
267,55e87de8,1.0,1.0,1.0,,1.0,5,1,0,0,0
268,c56dff49,1.0,,,,,5,0,1,0,0
269,ba724fb6,2.0,,,,2.0,3,1,0,0,0
270,b97b9d93,1.0,,,,,5,1,0,0,0
271,46cacfef,1.0,,,,,5,0,1,0,0
272,14b6ab24,1.0,1.0,1.0,,,5,0,1,0,0
273,f1e00012,1.0,,,,,5,0,1,0,0
274,7025ac12,5.0,,,,4.0,5,0,1,0,0
275,bada76d3,3.0,1.0,0.3333333333333333,,,2,1,0,0,0
276,70a325eb,,,,,,5,1,0,0,0
277,fb19ca5a,1.0,,,,3.0,5,0,0,0,1
278,f6cd21a1,1.0,,,,,5,1,0,0,0
279,ed806b31,1.0,,,,17.0,5,0,1,0,0
280,91752493,1.0,,,,,5,0,1,0,0
281,92059fdf,1.0,,,,,5,0,1,0,0
282,390f09f1,1.0,,,,,5,1,0,0,0
283,d9fc5677,3.0,,,,144.0,5,0,1,0,0
284,4d233ac6,4.0,,,,9.0,5,0,1,0,0
285,46a1efca,2.0,1.0,0.5,,,5,1,0,0,0
286,d4c8daf6,3.0,,,,4.0,5,0,1,0,0
287,fd5bc946,1.0,,,,,5,1,0,0,0
288,23b90f81,1.0,1.0,1.0,,1.0,5,0,1,0,0
289,89939b0c,1.0,,,,2.0,5,0,1,0,0
290,eab407a5,,,,,8.0,5,0,1,0,0
291,d55a7432,1.0,,,,,5,1,0,0,0
292,629e1a6e,1.0,,,,11.0,5,1,0,0,0
293,13698a29,3.0,,,,,5,0,1,0,0
294,84380983,,,,,1.0,5,0,1,0,0
295,09d0e523,2.0,,,,6.0,5,1,0,0,0
296,bde00913,1.0,,,,,5,1,0,0,0
297,32eb13bb,1.0,,,,,5,1,0,0,0
298,2606c8da,1.0,,,,,5,1,0,0,0
299,23e6906d,1.0,,,,,5,1,0,0,0
300,cf75487d,1.0,,,,,5,0,1,0,0
301,adf0382e,3.0,,,,26.0,5,0,1,0,0
302,b17d6c59,1.0,,,,,5,1,0,0,0
303,e349f752,5.0,1.0,0.2,,19.0,5,1,0,0,0
304,eb08912b,2.0,,,,,5,0,1,0,0
305,d4e83772,3.0,,,,,5,1,0,0,0
306,4bfc1a10,3.0,1.0,0.3333333333333333,,42.0,5,0,1,0,0
307,9952a8e0,1.0,,,,,5,0,1,0,0
308,8c31a66a,1.0,,,,,5,1,0,0,0
309,edc38036,,,,,20.0,5,1,0,0,0
310,2abe3533,3.0,1.0,0.3333333333333333,,,5,1,0,0,0
311,fbd04b25,1.0,,,,3.0,5,0,1,0,0
312,e5824d72,5.0,,,,38.0,5,1,0,0,0
313,b30562d4,1.0,,,,1.0,5,1,0,0,0
314,02298b4a,3.0,,,,,5,1,0,0,0
315,e4b71e52,2.0,,,,,3,1,0,0,0
316,ed39978f,15.0,3.0,0.2,2.0,7.0,5,0,1,0,0
317,5b7a7697,3.0,2.0,0.6666666666666666,,,5,1,0,0,0
318,9fea64a8,2.0,,,,,5,0,1,0,0
319,a4e3e0ba,1.0,,,,,5,0,1,0,0
320,1033c7f1,1.0,,,,,5,1,0,0,0
321,a16a0211,2.0,,,,,5,1,0,0,0
322,2df10e76,2.0,,,,9.0,5,1,0,0,0
323,ff89d18f,3.0,2.0,0.6666666666666666,,4.0,5,0,1,0,0
324,732df811,3.0,,,,8.0,5,0,1,0,0
325,de1de15e,5.0,,,,,3,1,0,0,0
326,80c8726f,1.0,1.0,1.0,,33.0,5,0,1,0,0
327,e5953f4b,,,,,46.0,5,1,0,0,0
328,619bff69,1.0,,,,,5,0,1,0,0
329,ed7382a8,9.0,1.0,0.1111111111111111,,36.0,5,1,0,0,0
330,3043e183,2.0,1.0,0.5,,5.0,5,0,1,0,0
331,8ab5791a,3.0,,,,,5,1,0,0,0
332,3ae2240d,1.0,,,,1.0,5,1,0,0,0
333,6929face,1.0,,,,,5,1,0,0,0
334,06077235,1.0,,,,1.0,5,1,0,0,0
335,6b5088da,3.0,,,,5.0,5,1,0,0,0
336,685dc7f7,1.0,1.0,1.0,,1.0,5,1,0,0,0
337,8eb58541,1.0,,,,3.0,5,1,0,0,0
338,919bcd48,2.0,1.0,0.5,,,5,1,0,0,0
339,974fc112,1.0,,,,,5,0,1,0,0
340,9a00037e,1.0,,,,3.0,5,1,0,0,0
341,65f36887,11.0,1.0,0.09090909090909091,,,5,1,0,0,0
342,d67a6656,6.0,2.0,0.3333333333333333,,7.0,5,0,1,0,0
343,efdfb24e,2.0,1.0,0.5,,3.0,5,1,0,0,0
344,55f7ae64,1.0,,,,5.0,4,0,1,0,0
345,1498b979,1.0,,,,,5,0,1,0,0
346,9d279147,,,,,,5,1,0,0,0
347,8f358327,,,,,,5,0,1,0,0
348,fed81014,17.0,13.0,0.7647058823529411,,11.0,5,0,1,0,0
349,8637463a,4.0,,,,,5,0,1,0,0
350,92441fa1,,,,,1.0,5,1,0,0,0
351,455bfbc9,2.0,,,,3.0,5,1,0,0,0
352,fd5e4491,6.0,,,,,5,1,0,0,0
353,e9c994b8,1.0,2.0,2.0,,,5,1,0,0,0
354,e4594222,5.0,2.0,0.4,,,5,1,0,0,0
355,94042208,2.0,4.0,2.0,,,5,0,1,0,0
356,d76e28a3,1.0,,,,,5,1,0,0,0
357,a7b6e286,3.0,,,,1.0,5,1,0,0,0
358,27038bac,1.0,,,,,5,1,0,0,0
359,60591a7d,2.0,1.0,0.5,,1.0,5,1,0,0,0
360,3887b35e,1.0,,,,,5,0,1,0,0
361,5423158b,1.0,1.0,1.0,,11.0,5,1,0,0,0
362,991360db,1.0,,,,5.0,5,1,0,0,0
363,c5a0bc36,5.0,2.0,0.4,,1.0,1,1,0,0,0
364,11eb4374,1.0,,,,,5,0,1,0,0
365,7d71558b,2.0,1.0,0.5,,1.0,5,1,0,0,0
366,3787229d,1.0,1.0,1.0,,10.0,5,1,0,0,0
367,2287c9f7,10.0,3.0,0.3,,28.0,5,1,0,0,0
368,0c9d90d6,1.0,,,,,5,0,1,0,0
369,41bfa3b9,2.0,,,,,5,1,0,0,0
370,4ed8ab82,3.0,,,,5.0,5,0,1,0,0
371,d8ca7115,3.0,,,2.0,1.0,5,1,0,0,0
372,dccd2a57,1.0,1.0,1.0,,,5,1,0,0,0
373,0885e75e,1.0,,,,,5,1,0,0,0
374,b00a6f27,3.0,,,,,5,1,0,0,0
375,8a4b69ec,6.0,1.0,0.16666666666666666,,33.0,5,1,0,0,0
376,6ea9ffd2,6.0,,,,114.0,5,0,1,0,0
377,d0c5aa85,11.0,1.0,0.09090909090909091,1.0,9.0,5,1,0,0,0
378,fc4b841d,,,,,2.0,5,0,1,0,0
379,db1a3c00,1.0,,,,,5,1,0,0,0
380,cbff6e32,1.0,,,,,5,0,0,1,0
381,9b4f540a,1.0,,,,3.0,5,0,1,0,0
382,2a072244,1.0,,,,,5,0,1,0,0
383,fcb5fb33,1.0,,,,2.0,5,0,1,0,0
384,72ee021f,8.0,,,,,5,0,1,0,0
385,050c6066,1.0,,,,,5,0,1,0,0
386,9d84519b,2.0,,,,,5,1,0,0,0
387,7ac0c607,27.0,1.0,0.037037037037037035,4.0,9.0,3,1,0,0,0
388,af95a93c,1.0,,,,10.0,5,0,1,0,0
389,12eb49ed,1.0,,,,,5,0,1,0,0
390,a8ca0988,,,,,,5,1,0,0,0
391,6f1e155b,4.0,,,,13.0,2,1,0,0,0
392,e8a1b038,1.0,,,,,5,0,1,0,0
393,701aed49,1.0,,,,21.0,5,0,1,0,0
394,3e97d5f3,2.0,,,,,5,1,0,0,0
395,ad9c339a,,,,,,5,1,0,0,0
396,bb31d716,2.0,,,,,5,0,1,0,0
397,b86b400e,1.0,,,,2.0,5,0,1,0,0
398,10a42267,,,,,2.0,5,0,1,0,0
399,fd12b306,1.0,,,,,5,0,1,0,0
400,852abc08,1.0,1.0,1.0,,,5,1,0,0,0
401,4640420b,3.0,1.0,0.3333333333333333,,30.0,5,0,0,1,0
402,ad4b1e5f,,,,,,5,1,0,0,0
403,2ff5b818,1.0,,,,,5,0,1,0,0
404,bd608de6,1.0,,,,,5,1,0,0,0
405,ea23791b,1.0,,,,2.0,5,1,0,0,0
406,94e7818d,2.0,,,,,4,1,0,0,0
407,bf15584a,7.0,1.0,0.14285714285714285,,,5,1,0,0,0
408,4a3c0db7,1.0,,,,3.0,5,0,1,0,0
409,5f7f0c55,25.0,9.0,0.36,,16.0,4,0,1,0,0
410,9e776b51,9.0,1.0,0.1111111111111111,,1.0,5,1,0,0,0
411,d793a520,18.0,,,,29.0,5,0,1,0,0
412,03c58152,1.0,,,,,5,0,1,0,0
413,900f049c,1.0,,,,,5,0,1,0,0
414,67ad5c84,4.0,,,,169.0,5,1,0,0,0
415,9df0e397,6.0,,,,,5,0,1,0,0
416,03302054,,,,,2.0,5,1,0,0,0
417,6ecc4591,,,,,,4,1,0,0,0
418,000e4d9e,1.0,,,,,5,1,0,0,0
419,67734512,1.0,,,,1.0,5,1,0,0,0
420,0b994061,2.0,,,,,5,1,0,0,0
421,b31761cc,4.0,,,,1.0,5,1,0,0,0
422,cc302ed6,1.0,,,,,5,1,0,0,0
423,1660fa42,1.0,,,,,5,1,0,0,0
424,ea76aeec,1.0,,,,,5,0,1,0,0
425,ad5943a9,2.0,,,,9.0,5,1,0,0,0
426,f431031a,1.0,,,,,5,1,0,0,0
427,5dd73565,1.0,,,,1.0,5,1,0,0,0
428,ee8dd67c,1.0,,,,,5,0,1,0,0
429,eb199e7f,1.0,,,,,5,0,1,0,0
430,656072a3,1.0,,,,,5,1,0,0,0
431,95a388b0,1.0,,,,2.0,5,1,0,0,0
432,846372d4,4.0,4.0,1.0,,9.0,4,1,0,0,0
433,d1fd6caa,1.0,1.0,1.0,,4.0,5,1,0,0,0
434,a618c138,1.0,1.0,1.0,,,5,1,0,0,0
435,8a0a63af,1.0,,,,3.0,5,0,1,0,0
436,7642405a,4.0,,,,2.0,3,1,0,0,0
437,670639bc,9.0,,,,,5,1,0,0,0
438,ae5b92db,2.0,,,,,5,1,0,0,0
439,41ccd2c6,1.0,,,,,5,1,0,0,0
440,8cf7b63c,5.0,,,,,5,1,0,0,0
441,bdd23ab2,2.0,,,,5.0,2,1,0,0,0
442,ae56f702,1.0,,,,,5,1,0,0,0
443,b02fa0dd,3.0,,,,1.0,5,1,0,0,0
444,eb7165bb,1.0,,,,,5,1,0,0,0
445,811ec67b,1.0,,,,,5,0,1,0,0
446,270b42e3,1.0,,,,1.0,5,0,1,0,0
447,18b81745,1.0,,,,,5,0,0,1,0
448,69c23290,1.0,3.0,3.0,,1.0,5,1,0,0,0
449,e3b71e84,1.0,,,,,5,0,1,0,0
450,ef8b96c3,2.0,,,,,5,1,0,0,0
451,bb8116c9,,,,,,5,1,0,0,0
452,594a53d3,2.0,1.0,0.5,,,5,0,1,0,0
453,108caf2c,1.0,,,,,5,0,1,0,0
454,1a1a16f8,1.0,,,,,5,0,1,0,0
455,18a185e1,1.0,,,,,5,0,1,0,0
456,335116e1,1.0,,,,,5,0,1,0,0
457,ff9fc164,1.0,,,3.0,39.0,5,0,1,0,0
458,6f37c9b4,1.0,,,,,5,0,1,0,0
459,7c3970ce,1.0,,,,,5,1,0,0,0
460,8a590d23,1.0,,,,,5,0,1,0,0
461,c746f37c,3.0,,,,1.0,5,1,0,0,0
462,166a19f7,,,,,4.0,5,0,1,0,0
463,ee20c405,1.0,,,,,5,1,0,0,0
464,02b0cd5c,1.0,,,,,5,1,0,0,0
465,4679e993,1.0,,,,,5,1,0,0,0
466,814db0b5,1.0,,,,,5,1,0,0,0
467,b0f9b8a1,1.0,,,,,5,1,0,0,0
468,73ffc5f4,1.0,,,,,5,0,1,0,0
469,fb73da39,,,,,,5,1,0,0,0
470,c299808f,1.0,,,,,5,1,0,0,0
