person,cant_ev_ad_campaign_hit,cant_ev_brand_listing,cant_ev_checkout,cant_ev_conversion,cant_ev_generic_listing,cant_ev_lead,cant_ev_search_engine_hit,cant_ev_searched_products,cant_ev_staticpage,cant_ev_viewed_product,cant_ev_visited_site
003a05bf,0.0,9.0,6.0,0.0,6.0,0.0,3.0,0.0,0.0,51.0,12.0
003a7d49,1.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,3.0
003bdb4d,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
003d07ef,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
003d4cac,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
003dd965,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
003e7507,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0
00408349,6.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,3.0
0041fec6,1.0,9.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,29.0,4.0
0042421c,1.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,2.0
0043a48e,3.0,0.0,4.0,3.0,2.0,0.0,0.0,3.0,0.0,14.0,5.0
004b8d91,0.0,10.0,1.0,0.0,7.0,0.0,6.0,0.0,0.0,10.0,3.0
004ed8ba,38.0,44.0,14.0,1.0,4.0,0.0,5.0,7.0,1.0,71.0,43.0
0050d971,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
00546e55,3.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0
00546f4c,24.0,1.0,13.0,4.0,49.0,1.0,11.0,146.0,6.0,181.0,44.0
00556ee5,6.0,8.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,17.0,4.0
0059a996,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0
005af223,18.0,2.0,1.0,0.0,2.0,0.0,14.0,1.0,0.0,27.0,14.0
005e06ef,0.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,20.0,4.0
0061cbe8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
006549da,3.0,8.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,61.0,5.0
00665dda,4.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,15.0,5.0
006671fd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,2.0
006bb312,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0
006cabc5,1.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,97.0,2.0
006e1534,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
006fc943,49.0,1.0,4.0,0.0,7.0,0.0,10.0,65.0,2.0,107.0,23.0
00702e02,6.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,55.0,3.0
00736d10,5.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,93.0,9.0
00750af8,5.0,2.0,2.0,1.0,6.0,0.0,8.0,14.0,0.0,45.0,9.0
007537e8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0
00754f5e,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0
0076b7dc,10.0,0.0,1.0,1.0,10.0,0.0,9.0,21.0,0.0,22.0,11.0
007743ca,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
007a0564,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,11.0,3.0
007ddac1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0081cd73,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
0081f590,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0
008287e4,4.0,0.0,1.0,0.0,2.0,0.0,3.0,12.0,0.0,64.0,3.0
0083c22c,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0
00868d8e,1.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,9.0,1.0
0086ee61,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0
0087d959,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,59.0,4.0
0089421c,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0
008a6d00,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0,2.0
008b4a48,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0
008bb884,2.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,126.0,5.0
008f480f,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0
008f739f,12.0,15.0,1.0,0.0,5.0,0.0,4.0,18.0,0.0,34.0,12.0
009648f0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0
00970caa,4.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,1.0
00971729,3.0,2.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,71.0,2.0
009944e1,11.0,73.0,1.0,1.0,7.0,0.0,5.0,0.0,3.0,40.0,16.0
009a5ed5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,0.0,16.0,4.0
009cbfb2,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0
009d27e8,4.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,73.0,3.0
009f8292,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,10.0,4.0
00a2efc2,4.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,3.0
00a58494,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0
00a91f61,3.0,1.0,0.0,0.0,4.0,0.0,4.0,9.0,0.0,6.0,3.0
00af50bb,7.0,4.0,2.0,0.0,18.0,0.0,1.0,1.0,0.0,29.0,15.0
00afd018,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,17.0,6.0
00b0fe02,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
00b1b9d0,16.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,114.0,23.0
00b2b269,5.0,0.0,1.0,0.0,5.0,0.0,5.0,9.0,0.0,13.0,2.0
00b5303d,3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,3.0
00b6642b,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,15.0,1.0
00b8bba9,3.0,9.0,3.0,0.0,1.0,0.0,3.0,5.0,0.0,53.0,3.0
00b9f49d,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
00bc3bed,9.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,14.0,2.0
00beac49,1.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,9.0,4.0
00c2307c,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,71.0,3.0
00c2f60d,0.0,4.0,2.0,0.0,19.0,0.0,1.0,0.0,0.0,116.0,7.0
00c40a4b,2.0,3.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0
00c955ce,25.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,22.0,18.0
00c9a4eb,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
00ca06d3,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,13.0,2.0
00caa482,44.0,48.0,5.0,4.0,9.0,0.0,7.0,32.0,0.0,117.0,34.0
00cd1373,3.0,5.0,4.0,2.0,6.0,0.0,3.0,42.0,1.0,52.0,14.0
00cde0db,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0,2.0
00d21f5e,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0
00d4b0c1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
00d618ba,10.0,58.0,1.0,0.0,23.0,0.0,18.0,3.0,0.0,187.0,16.0
00d8d869,0.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,23.0,1.0
00dabbf1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
00dcc618,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
00e0e219,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
00e2e06b,8.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,12.0,6.0
00e3c94f,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
00e6a700,2.0,11.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0
00ea5497,4.0,5.0,1.0,0.0,8.0,0.0,5.0,0.0,0.0,24.0,11.0
00ecfd1a,3.0,0.0,6.0,1.0,0.0,0.0,2.0,5.0,0.0,25.0,4.0
00f1575c,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
00f369ef,3.0,0.0,2.0,0.0,4.0,0.0,3.0,3.0,0.0,2.0,4.0
00f4620f,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0
00f49191,11.0,7.0,2.0,0.0,3.0,0.0,4.0,13.0,0.0,117.0,8.0
00f5c8be,1.0,7.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
00fa4cd7,7.0,5.0,2.0,2.0,5.0,0.0,4.0,25.0,1.0,27.0,20.0
00fd99c6,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0
00ff2c51,8.0,19.0,1.0,0.0,5.0,0.0,4.0,3.0,0.0,62.0,6.0
010200b5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
01022bf3,6.0,1.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,7.0,2.0
010358c1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0
01039bf1,2.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,39.0,2.0
01067e00,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
010750dc,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0107bdfc,9.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,9.0,3.0
01083011,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01094049,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0
010b0b0b,10.0,64.0,3.0,1.0,65.0,0.0,8.0,14.0,1.0,258.0,52.0
010dce63,4.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0
010f9396,4.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,0.0,5.0,2.0
01102549,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
011120d7,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
01118279,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0111d9af,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
01126aa4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01127f1d,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01183209,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0
011beb42,44.0,147.0,4.0,1.0,38.0,0.0,63.0,11.0,3.0,124.0,47.0
011d982c,3.0,1.0,1.0,0.0,2.0,0.0,3.0,7.0,0.0,2.0,1.0
011e43e5,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0
011fbf97,13.0,2.0,10.0,0.0,9.0,0.0,10.0,15.0,0.0,16.0,11.0
011fef85,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0121c41e,4.0,0.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,12.0,3.0
0126d440,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0127932b,8.0,11.0,2.0,0.0,8.0,0.0,8.0,1.0,0.0,4.0,2.0
0129072b,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0
012af91b,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0
012b81de,3.0,24.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,54.0,2.0
012cd55c,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0
012d8fd8,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.0,8.0
013136c4,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
01319a6d,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,9.0
013288eb,4.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,3.0
0132a515,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0
0137a57b,3.0,2.0,1.0,1.0,10.0,0.0,4.0,0.0,0.0,115.0,15.0
01395e75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
013a0e3a,8.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,9.0,7.0
013dc935,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
013e1cd0,7.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0,0.0,9.0,5.0
013ef20d,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
013fce70,2.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,0.0,7.0,2.0
0143d796,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,18.0,1.0
014412d6,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0
0144bd58,7.0,0.0,0.0,0.0,7.0,0.0,7.0,5.0,0.0,4.0,5.0
0145565a,0.0,12.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,38.0,3.0
0146d5e8,3.0,1.0,9.0,0.0,5.0,0.0,3.0,19.0,0.0,49.0,5.0
0146ecbc,2.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,9.0,1.0
01477f15,4.0,0.0,0.0,0.0,5.0,0.0,6.0,4.0,0.0,40.0,5.0
014853d4,22.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,31.0,11.0
0148562c,0.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,26.0,1.0
01488a35,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0
014bca6c,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
015d002b,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
015dfe12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
015eb48a,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0
015f1a84,2.0,21.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,70.0,3.0
015fb139,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0
01605eaa,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0
01638753,5.0,0.0,0.0,0.0,4.0,0.0,5.0,7.0,0.0,6.0,3.0
0163bf88,9.0,0.0,3.0,1.0,9.0,0.0,3.0,0.0,0.0,6.0,4.0
016419e1,5.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,8.0,4.0
0165b04a,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0165d283,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0
0165db0d,15.0,1.0,1.0,0.0,11.0,0.0,11.0,4.0,0.0,6.0,12.0
01692bd2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01696aab,3.0,2.0,4.0,0.0,6.0,0.0,4.0,11.0,0.0,22.0,17.0
016a78e4,30.0,35.0,6.0,1.0,13.0,0.0,10.0,0.0,0.0,52.0,16.0
016b86b9,74.0,155.0,7.0,5.0,52.0,1.0,0.0,85.0,14.0,380.0,47.0
016d0c8f,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
016efcb7,18.0,49.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,60.0,8.0
016f3833,4.0,3.0,2.0,1.0,9.0,0.0,8.0,0.0,0.0,29.0,4.0
016f7879,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,2.0
01716e05,9.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,5.0
0172d307,0.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,2.0
0173b599,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,1.0
0178b595,5.0,2.0,2.0,0.0,7.0,0.0,7.0,104.0,0.0,294.0,15.0
01798556,12.0,12.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,83.0,8.0
017a84d1,6.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,6.0
017a9049,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
017d35dc,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
017fd805,6.0,7.0,1.0,1.0,6.0,0.0,8.0,0.0,0.0,23.0,2.0
01855dab,1.0,0.0,1.0,0.0,3.0,0.0,1.0,48.0,0.0,32.0,2.0
018598e8,8.0,2.0,2.0,1.0,6.0,0.0,4.0,1.0,1.0,13.0,5.0
018774cf,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0
018954fd,11.0,5.0,1.0,0.0,3.0,0.0,6.0,13.0,0.0,8.0,3.0
018adf26,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0
018c1154,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0
0190f87d,7.0,0.0,2.0,0.0,17.0,0.0,0.0,5.0,0.0,97.0,11.0
01914d78,14.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,133.0,13.0
019425a8,6.0,20.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,23.0,2.0
0195ed3b,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0196054a,0.0,2.0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,12.0,7.0
01984bc3,5.0,0.0,1.0,0.0,3.0,0.0,4.0,19.0,0.0,10.0,6.0
019ac712,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
019c24ae,5.0,3.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,48.0,2.0
019c7c78,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
01a20e81,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,4.0
01a46372,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0
01a5aa29,1.0,5.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,85.0,5.0
01ab5296,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
01ac5844,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,2.0
01ad4042,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,2.0
01ada784,5.0,12.0,3.0,1.0,7.0,0.0,1.0,2.0,0.0,15.0,1.0
01add051,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0
01af6573,25.0,8.0,5.0,0.0,128.0,6.0,26.0,0.0,4.0,631.0,122.0
01b08442,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,24.0,5.0
01b09758,16.0,4.0,4.0,1.0,26.0,0.0,16.0,2.0,6.0,360.0,40.0
01b12d02,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
01b47d4f,0.0,0.0,3.0,0.0,11.0,0.0,4.0,0.0,0.0,5.0,6.0
01b65cfa,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,12.0,3.0
01b79980,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,31.0,2.0
01b860b1,5.0,4.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,41.0,3.0
01b91332,3.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,17.0,1.0
01b97cb9,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,3.0
01be1d14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
01c0bf0e,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0
01c3addd,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,47.0,1.0
01c407bd,3.0,1.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,17.0,2.0
01c6281f,0.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,6.0,1.0
01c631cf,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01c862be,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
01c8b35d,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0
01c9f8d2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
01caf5bf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
01cbe6b3,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0
01cd8ca8,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,25.0,3.0
01cf1230,0.0,0.0,3.0,0.0,5.0,0.0,5.0,1.0,0.0,11.0,3.0
01d18619,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0
01d28bce,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
01d8711d,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0
01dfb178,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
01e18191,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01e2b6b0,18.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,20.0,2.0
01e32ed0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,3.0
01e5ebc1,6.0,69.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,18.0,12.0
01ed2afc,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0
01edff26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.0
01f061eb,6.0,2.0,0.0,0.0,10.0,0.0,5.0,1.0,0.0,64.0,6.0
01f12f08,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
