,person,cant_device_computer,cant_device_smartphone,cant_device_tablet,cant_device_unknown
49,00556ee5,0.0,4.0,0.0,0.0
50,0059a996,2.0,0.0,0.0,0.0
51,005af223,0.0,14.0,0.0,0.0
52,005e06ef,4.0,0.0,0.0,0.0
53,0061cbe8,0.0,1.0,0.0,0.0
54,006549da,5.0,0.0,0.0,0.0
55,00665dda,0.0,5.0,0.0,0.0
56,006671fd,2.0,0.0,0.0,0.0
57,006bb312,1.0,0.0,0.0,0.0
58,006cabc5,2.0,0.0,0.0,0.0
59,006e1534,0.0,2.0,0.0,0.0
60,006fc943,0.0,23.0,0.0,0.0
61,00702e02,3.0,0.0,0.0,0.0
62,00736d10,9.0,0.0,0.0,0.0
63,00750af8,0.0,9.0,0.0,0.0
64,007537e8,0.0,2.0,0.0,0.0
65,00754f5e,2.0,0.0,0.0,0.0
66,0076b7dc,0.0,11.0,0.0,0.0
67,007743ca,0.0,1.0,0.0,0.0
68,007a0564,0.0,3.0,0.0,0.0
69,007ddac1,0.0,1.0,0.0,0.0
70,0081cd73,1.0,0.0,0.0,0.0
71,0081f590,1.0,0.0,0.0,0.0
72,008287e4,3.0,0.0,0.0,0.0
73,0083c22c,0.0,1.0,0.0,0.0
74,00868d8e,0.0,1.0,0.0,0.0
75,0086ee61,1.0,0.0,0.0,0.0
76,0087d959,4.0,0.0,0.0,0.0
77,0089421c,0.0,1.0,0.0,0.0
78,008a6d00,0.0,0.0,2.0,0.0
79,008b4a48,1.0,0.0,0.0,0.0
80,008bb884,5.0,0.0,0.0,0.0
81,008f480f,1.0,0.0,0.0,0.0
82,008f739f,12.0,0.0,0.0,0.0
83,009648f0,1.0,0.0,0.0,0.0
84,00970caa,1.0,0.0,0.0,0.0
85,00971729,2.0,0.0,0.0,0.0
86,009944e1,16.0,0.0,0.0,0.0
87,009a5ed5,0.0,4.0,0.0,0.0
88,009cbfb2,2.0,0.0,0.0,0.0
89,009d27e8,3.0,0.0,0.0,0.0
90,009f8292,4.0,0.0,0.0,0.0
91,00a2efc2,0.0,3.0,0.0,0.0
92,00a58494,0.0,1.0,0.0,0.0
93,00a91f61,0.0,3.0,0.0,0.0
94,00af50bb,0.0,15.0,0.0,0.0
95,00afd018,0.0,6.0,0.0,0.0
96,00b0fe02,0.0,0.0,1.0,0.0
97,00b1b9d0,0.0,23.0,0.0,0.0
98,00b2b269,0.0,2.0,0.0,0.0
99,00b5303d,0.0,3.0,0.0,0.0
100,00b6642b,0.0,1.0,0.0,0.0
101,00b8bba9,0.0,3.0,0.0,0.0
102,00b9f49d,0.0,1.0,0.0,0.0
103,00bc3bed,0.0,2.0,0.0,0.0
104,00beac49,0.0,4.0,0.0,0.0
105,00c2307c,3.0,0.0,0.0,0.0
106,00c2f60d,7.0,0.0,0.0,0.0
107,00c40a4b,0.0,1.0,0.0,0.0
108,00c955ce,0.0,18.0,0.0,0.0
109,00c9a4eb,1.0,0.0,0.0,0.0
110,00ca06d3,2.0,0.0,0.0,0.0
111,00caa482,34.0,0.0,0.0,0.0
112,00cd1373,10.0,4.0,0.0,0.0
113,00cde0db,0.0,2.0,0.0,0.0
114,00d21f5e,0.0,2.0,0.0,0.0
115,00d4b0c1,0.0,1.0,0.0,0.0
116,00d618ba,16.0,0.0,0.0,0.0
117,00d8d869,1.0,0.0,0.0,0.0
118,00dabbf1,0.0,1.0,0.0,0.0
119,00dcc618,1.0,0.0,0.0,0.0
120,00e0e219,2.0,0.0,0.0,0.0
121,00e2e06b,0.0,6.0,0.0,0.0
122,00e3c94f,0.0,1.0,0.0,0.0
123,00e6a700,0.0,5.0,0.0,0.0
124,00ea5497,0.0,11.0,0.0,0.0
125,00ecfd1a,0.0,4.0,0.0,0.0
126,00f1575c,1.0,0.0,0.0,0.0
127,00f369ef,0.0,4.0,0.0,0.0
128,00f4620f,0.0,0.0,1.0,0.0
129,00f49191,8.0,0.0,0.0,0.0
130,00f5c8be,0.0,3.0,0.0,0.0
131,00fa4cd7,0.0,20.0,0.0,0.0
132,00fd99c6,0.0,2.0,0.0,0.0
133,00ff2c51,6.0,0.0,0.0,0.0
134,010200b5,0.0,1.0,0.0,0.0
135,01022bf3,0.0,2.0,0.0,0.0
136,010358c1,0.0,1.0,0.0,0.0
137,01039bf1,2.0,0.0,0.0,0.0
138,01067e00,0.0,1.0,0.0,0.0
139,010750dc,0.0,1.0,0.0,0.0
140,0107bdfc,0.0,3.0,0.0,0.0
141,01083011,0.0,1.0,0.0,0.0
142,01094049,4.0,0.0,0.0,0.0
143,010b0b0b,48.0,4.0,0.0,0.0
144,010dce63,0.0,2.0,0.0,0.0
145,010f9396,0.0,2.0,0.0,0.0
146,01102549,0.0,1.0,0.0,0.0
147,011120d7,2.0,0.0,0.0,0.0
148,0111d9af,0.0,1.0,0.0,0.0
149,01126aa4,0.0,1.0,0.0,0.0
150,01183209,1.0,0.0,0.0,0.0
151,011beb42,47.0,0.0,0.0,0.0
152,011d982c,0.0,1.0,0.0,0.0
153,011e43e5,0.0,0.0,1.0,0.0
154,011fbf97,0.0,11.0,0.0,0.0
155,011fef85,1.0,0.0,0.0,0.0
156,0121c41e,0.0,3.0,0.0,0.0
157,0126d440,0.0,1.0,0.0,0.0
158,0127932b,0.0,2.0,0.0,0.0
159,0129072b,2.0,0.0,0.0,0.0
160,012af91b,0.0,1.0,0.0,0.0
161,012b81de,2.0,0.0,0.0,0.0
162,012cd55c,0.0,1.0,0.0,0.0
163,012d8fd8,0.0,8.0,0.0,0.0
164,013136c4,0.0,1.0,0.0,0.0
165,01319a6d,9.0,0.0,0.0,0.0
166,013288eb,3.0,0.0,0.0,0.0
167,0132a515,0.0,1.0,0.0,0.0
168,0137a57b,0.0,15.0,0.0,0.0
169,01395e75,0.0,2.0,0.0,0.0
170,013a0e3a,0.0,7.0,0.0,0.0
171,013dc935,1.0,0.0,0.0,0.0
172,013e1cd0,0.0,5.0,0.0,0.0
173,013ef20d,1.0,0.0,0.0,0.0
174,013fce70,0.0,2.0,0.0,0.0
175,0143d796,1.0,0.0,0.0,0.0
176,014412d6,2.0,0.0,0.0,0.0
177,0144bd58,0.0,5.0,0.0,0.0
178,0145565a,3.0,0.0,0.0,0.0
179,0146d5e8,0.0,5.0,0.0,0.0
180,0146ecbc,0.0,1.0,0.0,0.0
181,01477f15,0.0,5.0,0.0,0.0
182,014853d4,11.0,0.0,0.0,0.0
183,0148562c,1.0,0.0,0.0,0.0
184,01488a35,0.0,1.0,0.0,0.0
185,014bca6c,0.0,1.0,0.0,0.0
186,015d002b,0.0,3.0,0.0,0.0
187,015dfe12,1.0,0.0,0.0,0.0
188,015eb48a,0.0,2.0,0.0,0.0
189,015f1a84,3.0,0.0,0.0,0.0
190,015fb139,1.0,0.0,0.0,0.0
191,01605eaa,0.0,1.0,0.0,0.0
192,01638753,0.0,3.0,0.0,0.0
193,0163bf88,0.0,0.0,4.0,0.0
194,016419e1,0.0,4.0,0.0,0.0
195,0165b04a,1.0,0.0,0.0,0.0
196,0165d283,0.0,1.0,0.0,0.0
197,0165db0d,0.0,12.0,0.0,0.0
198,01692bd2,0.0,1.0,0.0,0.0
199,01696aab,0.0,17.0,0.0,0.0
200,016a78e4,16.0,0.0,0.0,0.0
201,016b86b9,0.0,47.0,0.0,0.0
202,016d0c8f,0.0,1.0,0.0,0.0
203,016efcb7,8.0,0.0,0.0,0.0
204,016f3833,3.0,1.0,0.0,0.0
205,016f7879,0.0,2.0,0.0,0.0
206,01716e05,5.0,0.0,0.0,0.0
207,0172d307,2.0,0.0,0.0,0.0
208,0173b599,1.0,0.0,0.0,0.0
209,0178b595,0.0,15.0,0.0,0.0
210,01798556,8.0,0.0,0.0,0.0
211,017a84d1,6.0,0.0,0.0,0.0
212,017a9049,0.0,1.0,0.0,0.0
213,017d35dc,0.0,1.0,0.0,0.0
214,017fd805,0.0,2.0,0.0,0.0
215,01855dab,0.0,2.0,0.0,0.0
216,018598e8,5.0,0.0,0.0,0.0
217,018774cf,4.0,0.0,0.0,0.0
218,018954fd,0.0,3.0,0.0,0.0
219,018adf26,2.0,0.0,0.0,0.0
220,018c1154,0.0,4.0,0.0,0.0
221,0190f87d,11.0,0.0,0.0,0.0
222,01914d78,13.0,0.0,0.0,0.0
223,019425a8,2.0,0.0,0.0,0.0
224,0195ed3b,0.0,1.0,0.0,0.0
225,0196054a,0.0,7.0,0.0,0.0
226,01984bc3,0.0,6.0,0.0,0.0
227,019ac712,0.0,1.0,0.0,0.0
228,019c24ae,0.0,2.0,0.0,0.0
229,019c7c78,1.0,0.0,0.0,0.0
230,01a20e81,0.0,4.0,0.0,0.0
231,01a46372,3.0,0.0,0.0,0.0
232,01a5aa29,0.0,5.0,0.0,0.0
233,01ab5296,1.0,0.0,0.0,0.0
234,01ac5844,0.0,2.0,0.0,0.0
235,01ad4042,0.0,2.0,0.0,0.0
236,01ada784,1.0,0.0,0.0,0.0
237,01add051,0.0,1.0,0.0,0.0
238,01af6573,0.0,122.0,0.0,0.0
239,01b08442,0.0,5.0,0.0,0.0
240,01b09758,24.0,16.0,0.0,0.0
241,01b12d02,1.0,0.0,0.0,0.0
242,01b47d4f,0.0,6.0,0.0,0.0
243,01b65cfa,0.0,3.0,0.0,0.0
244,01b79980,2.0,0.0,0.0,0.0
245,01b860b1,3.0,0.0,0.0,0.0
246,01b91332,1.0,0.0,0.0,0.0
247,01b97cb9,3.0,0.0,0.0,0.0
248,01be1d14,1.0,0.0,0.0,0.0
249,01c0bf0e,0.0,2.0,0.0,0.0
250,01c3addd,1.0,0.0,0.0,0.0
251,01c407bd,0.0,2.0,0.0,0.0
252,01c6281f,1.0,0.0,0.0,0.0
253,01c631cf,1.0,0.0,0.0,0.0
254,01c862be,0.0,1.0,0.0,0.0
255,01c8b35d,1.0,0.0,0.0,0.0
256,01c9f8d2,1.0,0.0,0.0,0.0
257,01caf5bf,0.0,1.0,0.0,0.0
258,01cbe6b3,0.0,2.0,0.0,0.0
259,01cd8ca8,3.0,0.0,0.0,0.0
260,01cf1230,3.0,0.0,0.0,0.0
261,01d18619,0.0,1.0,0.0,0.0
262,01d28bce,1.0,0.0,0.0,0.0
263,01d8711d,1.0,0.0,0.0,0.0
264,01dfb178,1.0,0.0,0.0,0.0
265,01e18191,1.0,0.0,0.0,0.0
266,01e2b6b0,2.0,0.0,0.0,0.0
267,01e32ed0,3.0,0.0,0.0,0.0
268,01e5ebc1,12.0,0.0,0.0,0.0
269,01ed2afc,1.0,0.0,0.0,0.0
270,01edff26,1.0,0.0,0.0,0.0
271,01f061eb,0.0,6.0,0.0,0.0
272,01f12f08,0.0,0.0,2.0,0.0
273,01f20b0a,0.0,0.0,20.0,0.0
274,01f2283b,0.0,1.0,0.0,0.0
275,01f24fc9,0.0,17.0,0.0,0.0
276,01f38aae,7.0,0.0,0.0,0.0
277,01f68b1f,1.0,0.0,0.0,0.0
278,01f8fa5b,1.0,0.0,0.0,0.0
279,01fcd7ca,1.0,0.0,0.0,0.0
280,01fe7232,1.0,0.0,0.0,0.0
281,01fee5bd,1.0,0.0,0.0,0.0
282,01ffa003,0.0,1.0,0.0,0.0
283,01ffc611,1.0,0.0,0.0,0.0
284,02005e21,2.0,9.0,0.0,0.0
285,0202e763,9.0,0.0,0.0,0.0
286,0204dcec,0.0,2.0,0.0,0.0
287,0205d5c1,0.0,7.0,0.0,0.0
288,020b50dc,5.0,0.0,0.0,0.0
289,020ca6bf,2.0,0.0,0.0,0.0
290,02103564,37.0,7.0,0.0,0.0
291,0211b4be,0.0,1.0,0.0,0.0
292,0211eed9,0.0,17.0,0.0,0.0
293,021b35b5,1.0,0.0,0.0,0.0
294,021e1312,0.0,1.0,0.0,0.0
295,021ececb,1.0,0.0,0.0,0.0
296,021f11c8,12.0,0.0,0.0,0.0
297,02208eb6,0.0,3.0,0.0,0.0
298,0222570f,0.0,9.0,0.0,0.0
299,022260de,0.0,4.0,0.0,0.0
300,0222a169,3.0,0.0,0.0,0.0
301,02238440,1.0,0.0,0.0,0.0
302,0224b8b0,0.0,1.0,0.0,0.0
303,0225aa7c,0.0,3.0,0.0,0.0
304,0225de65,0.0,3.0,0.0,0.0
305,02274195,0.0,1.0,0.0,0.0
306,0227ae9b,0.0,1.0,0.0,0.0
307,02285678,2.0,0.0,0.0,0.0
308,0228b475,0.0,4.0,0.0,0.0
309,0228c93a,8.0,0.0,0.0,0.0
310,02298b4a,7.0,0.0,0.0,0.0
311,022b69a7,30.0,0.0,0.0,0.0
312,022bd951,1.0,0.0,0.0,0.0
313,022c05dd,0.0,2.0,0.0,0.0
314,022c083c,20.0,0.0,0.0,0.0
315,022ca64b,0.0,56.0,0.0,0.0
316,023039b3,4.0,0.0,0.0,0.0
317,023215f7,0.0,2.0,0.0,0.0
318,0233c7ed,1.0,0.0,0.0,0.0
319,0234045a,0.0,3.0,0.0,0.0
320,0234e8f5,0.0,2.0,0.0,0.0
321,0234f3d7,2.0,0.0,0.0,0.0
322,023581f9,0.0,1.0,0.0,0.0
323,0235896a,1.0,0.0,0.0,0.0
324,02363ce4,1.0,0.0,0.0,0.0
325,023e49e4,4.0,0.0,0.0,0.0
326,023fafbb,0.0,1.0,0.0,0.0
327,02417ee2,4.0,0.0,0.0,0.0
328,0244969f,0.0,3.0,0.0,0.0
329,02452978,0.0,4.0,0.0,0.0
330,0246242b,7.0,0.0,0.0,0.0
331,0247c9fc,0.0,2.0,0.0,0.0
332,024803ab,0.0,1.0,0.0,0.0
333,02481958,1.0,0.0,0.0,0.0
334,02496e75,0.0,1.0,0.0,0.0
335,024b9c24,15.0,0.0,0.0,0.0
336,024ceac4,0.0,1.0,0.0,0.0
337,024ffb9b,0.0,1.0,0.0,0.0
338,0256b30a,4.0,0.0,0.0,0.0
339,0256c879,0.0,1.0,0.0,0.0
340,0256dfc5,0.0,1.0,0.0,0.0
341,025e1ccc,2.0,0.0,0.0,0.0
342,02603929,0.0,1.0,0.0,0.0
343,02633ebf,3.0,0.0,0.0,0.0
344,02648ca1,0.0,1.0,0.0,0.0
345,02694196,4.0,0.0,0.0,0.0
346,026b4007,0.0,1.0,0.0,0.0
347,026b66ef,0.0,1.0,0.0,0.0
348,0270a59f,19.0,0.0,0.0,0.0
349,027870af,35.0,1.0,0.0,0.0
350,0279a6c7,0.0,7.0,0.0,0.0
351,027b809f,0.0,3.0,0.0,0.0
352,027cb5c9,2.0,0.0,0.0,0.0
353,027e9637,0.0,1.0,0.0,0.0
354,0280a93d,0.0,37.0,0.0,0.0
355,02875920,3.0,1.0,0.0,0.0
356,0287661f,0.0,10.0,0.0,0.0
357,02878a11,0.0,2.0,0.0,0.0
358,028d0864,1.0,0.0,0.0,0.0
359,028ed1ae,3.0,0.0,0.0,0.0
360,028f05c4,0.0,2.0,0.0,0.0
361,02973cb9,1.0,0.0,0.0,0.0
362,0297fc1e,0.0,95.0,0.0,0.0
363,029889eb,8.0,0.0,0.0,0.0
364,0299c90c,1.0,0.0,0.0,0.0
365,029a5c8b,0.0,1.0,0.0,0.0
366,029e25de,0.0,2.0,0.0,0.0
367,029e5749,0.0,1.0,0.0,0.0
368,02a11379,1.0,2.0,0.0,0.0
369,02a14ee3,6.0,0.0,0.0,0.0
370,02a510fe,0.0,1.0,0.0,0.0
371,02a6d3ac,1.0,0.0,0.0,0.0
372,02a6da92,0.0,27.0,0.0,0.0
373,02a72984,0.0,0.0,1.0,0.0
374,02a88a33,0.0,3.0,0.0,0.0
375,02a9fd4c,7.0,0.0,0.0,0.0
376,02aa0266,0.0,1.0,0.0,0.0
377,02aa734f,0.0,1.0,0.0,0.0
378,02aa83c1,0.0,0.0,2.0,0.0
379,02aaf943,2.0,0.0,0.0,0.0
380,02ac4fca,0.0,1.0,0.0,0.0
381,02b02d37,0.0,1.0,0.0,0.0
382,02b0cd5c,2.0,0.0,0.0,0.0
383,02b10e44,2.0,0.0,0.0,0.0
384,02b13444,0.0,1.0,0.0,0.0
385,02b51109,4.0,0.0,0.0,0.0
386,02b8d9d5,0.0,2.0,0.0,0.0
387,02ba6bb6,1.0,0.0,0.0,0.0
388,02bda531,5.0,0.0,0.0,0.0
389,02bf0143,5.0,0.0,0.0,0.0
390,02c2eb63,1.0,0.0,0.0,0.0
391,02c30caa,0.0,17.0,0.0,0.0
392,02c3960c,1.0,0.0,0.0,0.0
393,02c66b97,0.0,1.0,0.0,0.0
394,02c73278,0.0,1.0,0.0,0.0
395,02c9e5c7,2.0,0.0,0.0,0.0
396,02c9f7a6,1.0,0.0,0.0,0.0
397,02ce5246,1.0,0.0,0.0,0.0
398,02cec30a,2.0,0.0,0.0,0.0
399,02d1f846,0.0,1.0,0.0,0.0
400,02d42846,1.0,0.0,0.0,0.0
401,02d80cb2,0.0,6.0,0.0,0.0
402,02d90731,1.0,0.0,0.0,0.0
403,02d93f65,3.0,0.0,0.0,0.0
404,02dbbcba,3.0,0.0,0.0,0.0
405,02dd38ce,10.0,27.0,20.0,0.0
406,02de19f7,0.0,2.0,0.0,0.0
407,02e0a3c2,0.0,1.0,0.0,0.0
408,02e1a150,0.0,3.0,0.0,0.0
409,02e465f4,16.0,0.0,0.0,0.0
410,02e59a44,0.0,3.0,0.0,0.0
411,02e5a11c,1.0,0.0,0.0,0.0
412,02e65ce8,0.0,6.0,0.0,0.0
413,02e72974,0.0,1.0,0.0,0.0
414,02e7d329,1.0,0.0,0.0,0.0
415,02ea26c5,1.0,0.0,0.0,0.0
416,02eb0a9e,0.0,1.0,0.0,0.0
417,02ec2f23,0.0,2.0,0.0,0.0
418,02ecd2d2,0.0,4.0,0.0,0.0
419,02eefc32,0.0,2.0,0.0,0.0
420,02f01ea9,1.0,0.0,0.0,0.0
421,02f0635f,6.0,0.0,0.0,0.0
422,02f14240,0.0,294.0,0.0,0.0
423,02f2b7b1,1.0,0.0,0.0,0.0
424,02f578dc,1.0,0.0,0.0,0.0
425,02f5c581,3.0,0.0,0.0,0.0
426,02f792fc,4.0,0.0,0.0,0.0
427,02f82b20,2.0,0.0,0.0,0.0
428,02fb0b61,0.0,2.0,0.0,0.0
429,02fb0bea,1.0,0.0,0.0,0.0
430,02fb1a77,0.0,4.0,0.0,0.0
431,02fc0bf8,30.0,8.0,0.0,0.0
432,02fe14e6,5.0,0.0,0.0,0.0
433,02ff33f4,0.0,1.0,0.0,0.0
434,030071f1,0.0,5.0,0.0,0.0
435,03020198,0.0,4.0,0.0,0.0
436,03042e4a,0.0,2.0,0.0,0.0
437,03066c47,0.0,1.0,0.0,0.0
438,030712a0,1.0,0.0,0.0,0.0
439,0307f75d,14.0,1.0,0.0,0.0
440,030c5d84,0.0,1.0,0.0,0.0
441,030c803c,8.0,0.0,0.0,0.0
442,030cdb09,3.0,0.0,0.0,0.0
443,03100f48,10.0,0.0,0.0,0.0
444,0310a8cd,0.0,1.0,0.0,0.0
445,03110d1d,1.0,0.0,0.0,0.0
446,0311c318,0.0,6.0,0.0,0.0
447,031481a2,0.0,1.0,0.0,0.0
448,0318fd8d,2.0,0.0,0.0,0.0
449,031bee81,2.0,0.0,0.0,0.0
450,031e80e3,0.0,2.0,0.0,0.0
451,031ee7cc,0.0,1.0,0.0,0.0
452,031fcae5,29.0,0.0,0.0,0.0
453,0321ecd6,9.0,0.0,0.0,0.0
454,03264a2e,0.0,3.0,0.0,0.0
455,0328af6d,0.0,0.0,2.0,0.0
456,032a13f5,3.0,0.0,0.0,0.0
457,032c90dd,0.0,1.0,0.0,0.0
458,032eb0b8,0.0,1.0,0.0,0.0
459,032ecde2,1.0,0.0,0.0,0.0
460,032fb2c8,0.0,1.0,0.0,0.0
461,03302054,1.0,0.0,0.0,0.0
462,0330b185,3.0,0.0,0.0,0.0
463,0332afbe,0.0,3.0,0.0,0.0
464,0337d5ce,16.0,12.0,0.0,0.0
465,0338a1ea,5.0,0.0,0.0,0.0
466,03413393,2.0,0.0,0.0,0.0
467,0341c285,0.0,2.0,0.0,0.0
468,0341e2a2,0.0,15.0,0.0,0.0
469,03421604,0.0,2.0,0.0,0.0
470,03439225,65.0,0.0,0.0,0.0
471,03490d00,0.0,1.0,0.0,0.0
472,034ab8b8,4.0,0.0,0.0,0.0
473,034aee83,3.0,0.0,0.0,0.0
474,034e4f2f,14.0,0.0,0.0,0.0
475,034ec132,2.0,0.0,0.0,0.0
476,034fbc8a,0.0,1.0,0.0,0.0
477,0352d9b3,0.0,4.0,0.0,0.0
478,03533e4f,0.0,4.0,0.0,0.0
479,0353af22,27.0,0.0,0.0,0.0
480,035626f1,0.0,2.0,0.0,0.0
481,0357a791,0.0,2.0,0.0,0.0
482,035be698,8.0,0.0,0.0,0.0
483,035c9c3c,6.0,0.0,0.0,0.0
484,035ff4f3,0.0,7.0,0.0,0.0
485,03630617,3.0,0.0,0.0,0.0
486,03631044,0.0,1.0,0.0,0.0
487,03654863,2.0,0.0,0.0,0.0
488,036647bb,3.0,0.0,0.0,0.0
489,03665977,0.0,1.0,0.0,0.0
490,0366a065,0.0,1.0,0.0,0.0
491,0368b777,1.0,0.0,0.0,0.0
492,036cdf5a,0.0,5.0,0.0,0.0
493,036d3644,4.0,0.0,0.0,0.0
494,03739332,0.0,1.0,0.0,0.0
495,03754d73,0.0,7.0,0.0,0.0
496,03759a7b,0.0,1.0,0.0,0.0
497,0378916d,1.0,0.0,0.0,0.0
498,037a2f9e,5.0,0.0,0.0,0.0
499,037b36f8,3.0,0.0,0.0,0.0
500,037bf2d2,0.0,4.0,0.0,0.0
501,037c8a2b,0.0,2.0,0.0,0.0
502,037f094d,1.0,0.0,0.0,0.0
503,037f3cec,0.0,9.0,0.0,0.0
504,0382adc4,12.0,0.0,0.0,0.0
505,03836d05,1.0,0.0,0.0,0.0
506,03841432,1.0,0.0,6.0,0.0
507,0384b2bd,0.0,1.0,0.0,0.0
508,0384dbbf,0.0,1.0,0.0,0.0
509,038d2328,4.0,0.0,0.0,0.0
510,038e3cd5,0.0,1.0,0.0,0.0
511,0391da64,0.0,1.0,0.0,0.0
512,0393253c,0.0,2.0,0.0,0.0
513,03978515,0.0,5.0,0.0,0.0
514,039a1fa7,7.0,0.0,0.0,0.0
515,039c02c5,0.0,3.0,0.0,0.0
516,039ccd71,3.0,0.0,0.0,0.0
517,039d87dc,5.0,0.0,0.0,0.0
518,039fe371,0.0,1.0,0.0,0.0
519,03a07318,1.0,0.0,0.0,0.0
520,03a0d815,0.0,3.0,0.0,0.0
521,03a11e22,8.0,0.0,0.0,0.0
522,03a1b4d1,2.0,0.0,0.0,0.0
523,03a5acfb,2.0,0.0,0.0,0.0
524,03a67237,0.0,1.0,0.0,0.0
525,03a67b1c,2.0,0.0,0.0,0.0
526,03a7662e,1.0,0.0,0.0,0.0
527,03aa060a,1.0,0.0,0.0,0.0
528,03aa82cb,0.0,1.0,0.0,0.0
529,03ab59d3,4.0,0.0,0.0,0.0
530,03ae1796,0.0,6.0,0.0,0.0
531,03ae7227,0.0,1.0,0.0,0.0
532,03af5596,0.0,1.0,0.0,0.0
533,03b30b1a,0.0,1.0,0.0,0.0
534,03b3aa5c,0.0,2.0,0.0,0.0
535,03b6cecb,0.0,4.0,0.0,0.0
536,03b7f5bb,3.0,0.0,0.0,0.0
537,03b7f931,0.0,2.0,0.0,0.0
538,03b999c7,32.0,0.0,0.0,0.0
539,03bb6dc9,1.0,0.0,0.0,0.0
540,03bcd854,1.0,0.0,0.0,0.0
541,03bd1506,0.0,2.0,0.0,0.0
542,03bfba07,2.0,16.0,0.0,0.0
543,03c2b5c1,0.0,24.0,0.0,0.0
544,03c2b649,0.0,4.0,0.0,0.0
545,03c2bb80,2.0,0.0,0.0,0.0
546,03c58152,0.0,1.0,0.0,0.0
547,03c5f42d,0.0,1.0,0.0,0.0
548,03c6c909,0.0,0.0,1.0,0.0
549,03c6dbf0,1.0,0.0,0.0,0.0
550,03c72157,0.0,3.0,0.0,0.0
551,03c81048,0.0,1.0,0.0,0.0
552,03c815a4,2.0,0.0,0.0,0.0
553,03c99f07,0.0,5.0,0.0,0.0
554,03cc74c0,0.0,1.0,0.0,0.0
555,03cfb24d,0.0,23.0,0.0,0.0
556,03d1dc12,0.0,1.0,0.0,0.0
557,03d2422e,0.0,1.0,0.0,0.0
558,03d242c6,0.0,4.0,0.0,0.0
559,03d269f6,0.0,29.0,0.0,0.0
560,03d5db8f,0.0,1.0,0.0,0.0
561,03d85b53,2.0,0.0,0.0,0.0
562,03da112f,0.0,1.0,0.0,0.0
563,03da16b8,1.0,0.0,0.0,0.0
564,03db7c49,0.0,2.0,0.0,0.0
565,03db8124,0.0,6.0,0.0,0.0
566,03dc6595,0.0,4.0,0.0,0.0
567,03dde3a4,0.0,1.0,0.0,0.0
568,03de79e8,0.0,1.0,0.0,0.0
569,03dec268,0.0,1.0,0.0,0.0
570,03e36bd0,0.0,1.0,0.0,0.0
571,03e50576,0.0,6.0,0.0,0.0
572,03e5b74b,0.0,1.0,0.0,0.0
573,03e61256,0.0,2.0,0.0,0.0
574,03e69cc8,0.0,1.0,0.0,0.0
575,03e9630c,1.0,0.0,0.0,0.0
576,03ea1c12,6.0,0.0,0.0,0.0
577,03eb4dd6,0.0,2.0,0.0,0.0
578,03edc574,2.0,0.0,0.0,0.0
579,03edef0c,1.0,0.0,0.0,0.0
580,03f124c5,2.0,0.0,0.0,0.0
581,03f1562e,1.0,5.0,0.0,0.0
582,03f4ffdf,1.0,0.0,0.0,0.0
