,person,has_converted_before,most_viewed_sku,most_viewed_color_Preto,most_viewed_color_Branco,most_viewed_color_Dourado,region_brasil_Sao Paulo,region_brasil_Unknown,region_brasil_Minas Gerais
35,01c9f8d2,1.0,6371.0,0,0,1,0,1,0
36,01f38aae,1.0,6915.0,0,0,0,1,0,0
37,02005e21,1.0,8441.0,1,0,0,1,0,0
38,0211eed9,1.0,6371.0,0,0,1,0,0,0
39,0233c7ed,1.0,213.0,0,1,0,1,0,0
40,02417ee2,1.0,2814.0,1,0,0,0,1,0
41,027870af,1.0,508.0,1,0,0,0,0,0
42,027b809f,1.0,9287.0,0,0,1,0,0,0
43,0280a93d,1.0,2766.0,1,0,0,1,0,0
44,029889eb,1.0,9147.0,0,0,1,0,1,0
45,02a9fd4c,1.0,277.0,0,0,0,0,0,0
46,02c30caa,1.0,12605.0,0,1,0,1,0,0
47,02c3960c,1.0,723.0,1,0,0,0,0,0
48,02dd38ce,1.0,7713.0,1,0,0,0,0,0
49,02e465f4,1.0,9286.0,0,0,1,0,0,0
50,02ecfb15,1.0,2711.0,1,0,0,0,0,0
51,02fc0bf8,1.0,3659.0,0,0,0,0,0,0
52,0307f75d,1.0,11388.0,1,0,0,1,0,0
53,032a13f5,1.0,15368.0,0,0,1,0,0,0
54,0337d5ce,1.0,3325.0,1,0,0,0,0,0
55,0338a1ea,1.0,8485.0,0,0,1,0,0,0
56,034e4f2f,1.0,12732.0,0,0,1,1,0,0
57,0353af22,1.0,4571.0,1,0,0,0,0,0
58,035c9c3c,1.0,7715.0,1,0,0,1,0,0
59,0368b777,1.0,1301.0,0,0,0,0,0,0
60,03841432,1.0,7826.0,1,0,0,0,0,0
61,03b7f5bb,1.0,15383.0,1,0,0,1,0,0
62,03b999c7,1.0,171.0,1,0,0,0,0,1
63,03bfba07,1.0,1357.0,0,0,0,0,0,0
64,03c2b5c1,1.0,7155.0,0,0,0,0,0,1
65,03d269f6,1.0,12507.0,0,0,0,1,0,0
66,03db7c49,1.0,1066.0,1,0,0,0,0,0
67,04339d40,1.0,8443.0,1,0,0,0,0,0
68,04372918,1.0,2833.0,0,0,0,0,0,0
69,04392952,1.0,7967.0,1,0,0,0,0,0
70,043bbb8c,1.0,6370.0,0,0,1,0,1,0
71,043ec736,1.0,2710.0,0,1,0,0,0,1
72,044798c5,1.0,2694.0,0,0,0,0,0,0
73,0457712f,1.0,12408.0,1,0,0,1,0,0
74,046d3ba1,1.0,9274.0,0,0,0,0,0,0
75,0473d45c,1.0,284.0,0,0,0,0,0,0
76,047eaf93,1.0,12450.0,1,0,0,1,0,0
77,04877609,1.0,2810.0,1,0,0,0,1,0
78,049c35a9,1.0,7070.0,1,0,0,0,0,1
79,049c64d6,1.0,15370.0,0,0,1,0,1,0
80,049eb8ac,1.0,2833.0,0,0,0,1,0,0
81,04b0de51,1.0,5279.0,0,1,0,0,0,1
82,04b13fd2,1.0,12550.0,0,0,0,0,0,0
83,04b93ba0,1.0,10141.0,0,0,0,0,0,0
84,050f1a22,1.0,7028.0,0,0,0,0,0,1
85,052163a1,1.0,11948.0,0,0,0,0,0,0
86,05349582,1.0,15370.0,0,0,1,0,0,0
87,053b53ed,1.0,2680.0,0,1,0,0,0,0
88,05434466,1.0,10352.0,1,0,0,0,0,0
89,0566e9c1,1.0,2680.0,0,1,0,0,0,0
90,0567a51f,1.0,12520.0,0,0,0,0,1,0
91,057aa717,1.0,332.0,0,0,1,0,0,1
92,0592919f,1.0,12772.0,1,0,0,0,0,1
93,05ac0937,1.0,2740.0,1,0,0,0,1,0
94,05b53558,1.0,2830.0,0,0,0,0,0,0
95,05d9ceb0,1.0,506.0,1,0,0,0,1,0
96,05e135bf,1.0,3337.0,0,0,1,1,0,0
97,05fdf4d4,1.0,6371.0,0,0,1,0,0,0
98,0601784e,1.0,2836.0,0,0,0,0,0,0
99,060cd447,1.0,2836.0,0,0,0,0,1,0
100,0615817a,1.0,15383.0,1,0,0,0,0,0
101,062591e3,1.0,2840.0,0,0,1,1,0,0
102,062d7384,1.0,3131.0,1,0,0,0,0,1
103,064ec6ea,1.0,8470.0,1,0,0,1,0,0
104,065f4a95,1.0,8511.0,1,0,0,0,0,0
105,06818d49,1.0,508.0,1,0,0,1,0,0
106,06848016,1.0,2766.0,0,1,0,1,0,0
107,068f771c,1.0,6440.0,0,0,0,0,0,0
108,069af641,1.0,1317.0,0,0,1,1,0,0
109,069c5926,1.0,6888.0,0,0,0,0,0,0
110,06ad410f,1.0,2703.0,0,1,0,0,0,1
111,06c1e159,1.0,10408.0,1,0,0,0,1,0
112,06c1fbb3,1.0,6371.0,0,0,1,1,0,0
113,06d3a74d,1.0,9216.0,1,0,0,1,0,0
114,06d450a7,1.0,11807.0,1,0,0,0,0,0
115,06ed04d6,1.0,10366.0,1,0,0,0,1,0
116,06eeb3e7,1.0,7099.0,0,0,0,0,0,0
117,06f9b57a,1.0,10855.0,0,0,1,0,0,1
118,071e2196,1.0,6706.0,0,1,0,0,1,0
119,0720d357,1.0,3359.0,1,0,0,0,0,1
120,0744ba92,1.0,1365.0,0,0,1,0,1,0
121,075851dd,1.0,7713.0,1,0,0,1,0,0
122,075c5198,1.0,506.0,1,0,0,0,0,1
123,076a4754,1.0,10351.0,1,0,0,1,0,0
124,07891a0d,1.0,2829.0,0,0,0,1,0,0
125,07a578c6,1.0,6934.0,0,0,1,0,0,0
126,07a60895,1.0,12550.0,0,0,0,0,0,0
127,07a887ed,1.0,6651.0,0,1,0,0,1,0
128,07ab5c99,1.0,7183.0,1,0,0,0,0,1
129,07ad7c88,1.0,2829.0,0,0,0,0,0,1
130,07b7d242,1.0,12508.0,1,0,0,0,0,0
131,07cdc12c,1.0,10142.0,0,0,0,0,0,0
132,07cde923,1.0,2750.0,0,1,0,1,0,0
133,07e631f2,1.0,6357.0,1,0,0,0,1,0
134,07f2d434,1.0,6248.0,0,0,0,1,0,0
135,07f42646,1.0,3371.0,0,0,1,1,0,0
136,0800358e,1.0,2815.0,0,1,0,0,0,1
137,080bd4ac,1.0,2796.0,1,0,0,1,0,0
138,0812bda0,1.0,12604.0,1,0,0,0,0,0
139,083426cc,1.0,2831.0,0,0,1,0,0,0
140,08343c0e,1.0,1333.0,0,0,0,0,1,0
141,083534b6,1.0,1382.0,0,0,0,1,0,0
142,083b8be7,1.0,7672.0,0,1,0,0,0,0
143,087d0669,1.0,2692.0,0,0,0,0,0,0
144,088477ee,1.0,10406.0,1,0,0,1,0,0
145,08991bf9,1.0,5088.0,1,0,0,0,1,0
146,089aeed8,1.0,10294.0,0,0,0,0,0,0
147,08b1d536,1.0,12772.0,1,0,0,1,0,0
148,08d02ef7,1.0,7826.0,1,0,0,0,1,0
149,08d18c71,1.0,6818.0,0,0,1,0,0,1
150,08d80b59,1.0,2820.0,0,1,0,0,0,1
151,08e4065d,1.0,8471.0,0,0,0,0,0,0
152,08f06435,1.0,11948.0,0,0,1,0,1,0
153,08f9054d,1.0,2889.0,1,0,0,1,0,0
154,090ef175,1.0,3371.0,0,0,1,0,1,0
155,093c3834,1.0,3359.0,1,0,0,0,0,0
156,09487355,1.0,2796.0,1,0,0,1,0,0
157,09557165,1.0,6357.0,1,0,0,1,0,0
158,095c5f96,1.0,2692.0,1,0,0,0,0,0
159,0966f2a3,1.0,283.0,0,0,1,0,0,0
160,096ebe93,1.0,8527.0,0,0,0,1,0,0
161,098bea44,1.0,297.0,0,0,0,0,0,0
162,098c4338,1.0,6819.0,0,0,1,0,0,0
163,09c2d603,1.0,2699.0,0,0,1,0,0,0
164,09e4e04b,1.0,2710.0,0,1,0,0,0,0
165,09eaaffd,1.0,12620.0,1,0,0,0,0,1
166,09eb0cc0,1.0,9328.0,1,0,0,0,0,1
167,09eb8d77,1.0,13194.0,1,0,0,0,1,0
168,0a19537c,1.0,11948.0,0,0,1,0,0,0
169,0a28dd5e,1.0,6369.0,1,0,0,0,0,0
170,0a2a7401,1.0,10476.0,1,0,0,1,0,0
171,0a2bdc5e,1.0,12760.0,1,0,0,0,0,1
172,0a2efad6,1.0,9288.0,0,1,0,0,0,0
173,0a2f9872,1.0,2685.0,0,0,0,0,0,0
174,0a390749,1.0,101.0,1,0,0,0,0,0
175,0a3a754c,1.0,10883.0,0,0,0,0,1,0
176,0a5879fc,1.0,9469.0,1,0,0,0,0,0
177,0a59b83f,1.0,10406.0,1,0,0,0,0,1
178,0a5d63bb,1.0,6011.0,0,0,0,1,0,0
179,0a62e820,1.0,6804.0,1,0,0,1,0,0
180,0a68db07,1.0,2929.0,1,0,0,1,0,0
181,0a7278b6,1.0,10884.0,1,0,0,0,1,0
182,0a7ffd3b,1.0,6384.0,0,0,1,0,1,0
183,0a991ffb,1.0,136.0,0,1,0,1,0,0
184,0aa463a0,1.0,3180.0,1,0,0,0,0,1
185,0aacf315,1.0,3372.0,0,0,1,0,0,0
186,0ab67196,1.0,304.0,0,0,0,0,1,0
187,0ac0f00c,1.0,506.0,1,0,0,0,0,0
188,0acdf8c1,1.0,10240.0,0,0,0,0,0,0
189,0ada2f89,1.0,1349.0,0,0,0,0,0,0
190,0ae0017b,1.0,8329.0,1,0,0,0,0,0
191,0ae7d311,1.0,291.0,0,0,1,0,0,0
192,0ae8135d,1.0,9946.0,0,0,0,0,1,0
193,0af44b4e,1.0,2692.0,1,0,0,0,0,0
194,0b2e2100,1.0,81.0,0,1,0,0,0,0
195,0b3bbfa4,1.0,276.0,0,0,0,1,0,0
196,0b6774d3,1.0,290.0,0,0,1,0,0,0
197,0b6aefdc,1.0,5137.0,1,0,0,0,0,0
198,0b8460ef,1.0,3349.0,0,0,1,0,1,0
199,0b91b6d6,1.0,12521.0,0,0,0,1,0,0
200,0b9d1285,1.0,284.0,0,0,0,0,0,0
201,0b9e0132,1.0,2814.0,1,0,0,1,0,0
202,0ba55641,1.0,7715.0,1,0,0,0,0,0
203,0bb45ffd,1.0,12661.0,1,0,0,0,0,0
204,0bcf03c1,1.0,4559.0,0,1,0,0,0,1
205,0bd09c43,1.0,3349.0,1,0,0,0,0,1
206,0be3f5e5,1.0,2780.0,1,0,0,1,0,0
207,0be7d7cf,1.0,1334.0,0,0,0,1,0,0
208,0bf0c226,1.0,1310.0,0,0,0,1,0,0
209,0bfdedd7,1.0,6371.0,1,0,0,1,0,0
210,0c02eff2,1.0,6649.0,0,1,0,0,0,0
211,0c0ef200,1.0,10813.0,0,0,1,0,0,0
212,0c118b5a,1.0,291.0,0,0,1,0,1,0
213,0c285c5b,1.0,9932.0,0,0,0,1,0,0
214,0c3fb871,1.0,2820.0,0,1,0,0,0,0
215,0c588686,1.0,942.0,0,0,1,0,0,0
216,0c64525d,1.0,3371.0,0,0,1,0,0,0
217,0c987c6d,1.0,10940.0,1,0,0,0,1,0
218,0ca8ef24,1.0,2778.0,0,1,0,1,0,0
219,0cdb1b24,1.0,15670.0,0,0,1,1,0,0
220,0ce04737,1.0,6357.0,1,0,0,0,0,0
221,0ce26294,1.0,6383.0,0,1,0,0,0,1
222,0ce50d9c,1.0,6371.0,0,0,1,1,0,0
223,0cee609b,1.0,2833.0,0,0,1,0,0,1
224,0cef9a6d,1.0,2843.0,0,0,1,0,0,0
225,0cf3d987,1.0,277.0,0,0,0,0,0,0
226,0cffd1be,1.0,8470.0,0,0,0,0,1,0
227,0d17cea3,1.0,2741.0,1,0,0,0,0,0
228,0d3ed279,1.0,3193.0,0,1,0,0,0,0
229,0d411cd0,1.0,1309.0,0,0,0,0,1,0
230,0d43b999,1.0,8512.0,1,0,0,0,0,1
231,0d491a97,1.0,9330.0,1,0,0,0,0,0
232,0d4f05d7,1.0,10338.0,0,0,0,0,0,0
233,0d52a950,1.0,9272.0,1,0,0,0,0,0
234,0d68d38e,1.0,12536.0,0,0,0,1,0,0
235,0d778481,1.0,6371.0,1,0,0,0,0,0
236,0d807f42,1.0,7713.0,1,0,0,0,0,0
237,0da5ecfc,1.0,9274.0,1,0,0,0,1,0
238,0db9efca,1.0,8485.0,0,0,1,1,0,0
239,0dba3095,1.0,1389.0,0,0,1,0,0,1
240,0dbcf50c,1.0,8261.0,0,0,0,0,1,0
241,0dd095e2,1.0,8555.0,0,0,1,0,1,0
242,0de84249,1.0,5459.0,1,0,0,1,0,0
243,0e14eefa,1.0,283.0,0,0,0,1,0,0
244,0e410ced,1.0,9342.0,0,0,1,0,0,0
245,0e43f95a,1.0,10154.0,0,0,0,1,0,0
246,0e532395,1.0,2656.0,1,0,0,0,0,0
247,0e5571fe,1.0,9287.0,0,0,1,0,0,1
248,0e5df472,1.0,2695.0,0,0,1,0,0,0
249,0ea23546,1.0,12731.0,0,0,0,1,0,0
250,0ea56104,1.0,6002.0,0,0,1,0,0,0
251,0eadc635,1.0,725.0,1,0,0,1,0,0
252,0ec96f03,1.0,6888.0,0,0,0,0,0,0
253,0ee30f8a,1.0,9302.0,1,0,0,0,0,0
254,0ee4c3de,1.0,11415.0,0,0,1,0,0,0
255,0ef0abaf,1.0,2834.0,0,0,1,1,0,0
256,0ef4168f,1.0,10406.0,1,0,0,0,1,0
257,0f18f196,1.0,13180.0,1,0,0,0,0,0
258,0f256de9,1.0,130.0,1,0,0,0,0,1
259,0f3e24e6,1.0,2695.0,0,0,1,1,0,0
260,0f4c1d4c,1.0,2939.0,0,1,0,1,0,0
261,0f4eb377,1.0,2705.0,0,1,0,1,0,0
262,0f633db3,1.0,6370.0,1,0,0,0,1,0
263,0f660f6e,1.0,4979.0,0,0,0,1,0,0
264,0f6c7452,1.0,1325.0,0,0,0,0,0,0
265,0f7e677e,1.0,3647.0,0,1,0,0,0,0
266,0f8f4d22,1.0,291.0,0,0,0,1,0,0
267,0fa53195,1.0,7251.0,1,0,0,0,0,1
268,0fb2aab1,1.0,6651.0,0,1,0,0,0,0
269,0fb6b4d1,1.0,7827.0,1,0,0,1,0,0
270,0fee480f,1.0,283.0,1,0,0,0,0,0
271,0ff0174a,1.0,7967.0,1,0,0,0,0,1
272,1001fb81,1.0,9344.0,0,0,1,0,0,0
273,1005c4e6,1.0,10350.0,1,0,0,1,0,0
274,1010bade,1.0,12394.0,0,1,0,0,0,1
275,1018e030,1.0,3108.0,1,0,0,0,1,0
276,102a4edf,1.0,3325.0,1,0,0,1,0,0
277,102ebc85,1.0,9288.0,0,0,1,1,0,0
278,104502b3,1.0,382.0,1,0,0,1,0,0
279,1049c17f,1.0,12522.0,0,0,0,0,0,0
280,104ea584,1.0,9398.0,1,0,0,1,0,0
281,1055cca5,1.0,891.0,0,0,0,0,0,0
282,105b9493,1.0,290.0,0,0,1,0,0,0
283,1067e372,1.0,8554.0,0,0,0,0,0,0
284,107402b6,1.0,2810.0,1,0,0,1,0,0
285,1074bfe5,1.0,6370.0,0,0,1,1,0,0
286,10834c7d,1.0,13473.0,0,0,0,0,0,0
287,10871bbb,1.0,9512.0,1,0,0,0,1,0
288,10924060,1.0,284.0,0,0,0,0,1,0
289,10a1ebe1,1.0,11807.0,1,0,0,1,0,0
290,10bdff16,1.0,3215.0,0,1,0,0,0,0
291,10c578c3,1.0,6412.0,0,0,1,0,1,0
292,10ccf1af,1.0,9301.0,1,0,0,0,1,0
293,10ce7929,1.0,6355.0,1,0,0,0,0,0
294,10d79571,1.0,3335.0,0,0,1,1,0,0
295,10eb73e8,1.0,15683.0,1,0,0,1,0,0
296,10fff09e,1.0,283.0,0,0,0,0,0,0
297,1105e6e4,1.0,9315.0,0,0,1,0,0,1
298,110ead63,1.0,9049.0,0,0,1,0,0,0
299,111d4242,1.0,7239.0,0,1,0,0,0,0
300,111fa39a,1.0,9288.0,1,0,0,1,0,0
301,11259db2,1.0,6411.0,0,0,1,1,0,0
302,112846e0,1.0,6916.0,0,0,0,1,0,0
303,1136bc2c,1.0,12520.0,0,0,0,0,1,0
304,1157b0eb,1.0,2710.0,0,1,0,0,1,0
305,116851fe,1.0,10938.0,1,0,0,1,0,0
306,11767781,1.0,11415.0,0,1,0,0,0,0
307,11c30212,1.0,3371.0,0,0,1,0,0,1
308,11c3a5fb,1.0,4955.0,1,0,0,0,0,0
309,11d097ed,1.0,15535.0,1,0,0,0,0,0
310,11e3fcc3,1.0,2691.0,0,0,0,0,0,0
311,11e6d47a,1.0,11093.0,0,0,0,0,0,0
312,11e6e60d,1.0,10940.0,1,0,0,0,0,0
313,11ec0c7f,1.0,8441.0,1,0,0,0,0,0
314,120d18a9,1.0,284.0,1,0,0,0,0,0
315,121bdce1,1.0,508.0,1,0,0,0,1,0
316,123848e4,1.0,8469.0,0,0,1,0,1,0
317,123e6920,1.0,2832.0,0,0,0,0,0,0
318,123fde23,1.0,5135.0,1,0,0,0,0,0
319,12511bec,1.0,2987.0,1,0,0,0,0,0
320,12525a95,1.0,6399.0,0,0,0,0,0,0
321,1257e31a,1.0,2783.0,0,1,0,0,0,0
322,127560be,1.0,3636.0,0,1,0,1,0,0
323,127d042d,1.0,3360.0,1,0,0,0,0,0
324,1282a6d3,1.0,6371.0,0,0,1,0,0,1
325,12885efc,1.0,10939.0,1,0,0,0,0,0
326,1288f270,1.0,12522.0,1,0,0,1,0,0
327,129547ab,1.0,8611.0,1,0,0,0,0,0
328,129e502f,1.0,3347.0,1,0,0,0,1,0
329,12c0225e,1.0,8233.0,0,0,1,0,0,1
330,12cfdb4c,1.0,2740.0,1,0,0,0,0,0
331,12d951ea,1.0,6467.0,0,0,1,0,1,0
332,12f9ba02,1.0,6001.0,0,0,0,0,0,0
333,12fd1087,1.0,6846.0,0,0,0,1,0,0
334,1321c62f,1.0,12450.0,1,0,0,0,1,0
335,133eab71,1.0,4056.0,0,0,0,0,0,0
336,13430d03,1.0,11414.0,0,0,1,0,0,0
337,13448706,1.0,2694.0,0,0,0,0,0,0
338,134a6770,1.0,506.0,1,0,0,0,0,1
339,134cc999,1.0,10085.0,0,0,1,0,0,0
340,137b7e13,1.0,5280.0,0,1,0,0,0,1
341,139413d1,1.0,12662.0,1,0,0,1,0,0
342,1396ab7e,1.0,6579.0,0,0,0,0,1,0
343,13a77802,1.0,10323.0,0,0,0,0,0,0
344,13af73ed,1.0,9946.0,0,0,0,1,0,0
345,13bc6fbd,1.0,6721.0,1,0,0,0,0,0
346,13bf9db2,1.0,7700.0,0,0,1,0,0,0
347,13c867e9,1.0,10196.0,0,0,0,1,0,0
348,13c9f301,1.0,2699.0,0,0,1,0,1,0
349,13d7772f,1.0,6413.0,0,0,1,1,0,0
350,13daf1fe,1.0,1406.0,0,0,0,0,1,0
351,13e693ec,1.0,8471.0,0,0,0,1,0,0
352,13ed62ba,1.0,7335.0,0,0,1,1,0,0
353,13fb0b13,1.0,8396.0,1,0,0,0,0,0
354,140e4567,1.0,8303.0,0,0,1,0,0,0
355,14133336,1.0,8952.0,0,0,1,0,0,0
356,141c1419,1.0,4583.0,0,0,1,0,1,0
357,141fdff9,1.0,12760.0,1,0,0,0,0,0
358,142440ff,1.0,12536.0,0,0,0,0,0,1
359,142ee76e,1.0,11709.0,0,0,0,0,0,0
360,1444eb56,1.0,9357.0,0,0,1,1,0,0
361,1455cb57,1.0,1317.0,0,0,1,1,0,0
362,147192f9,1.0,7097.0,0,0,0,1,0,0
363,148b3f9e,1.0,12618.0,1,0,0,1,0,0
364,14a27943,1.0,2699.0,0,0,1,1,0,0
365,14ac9209,1.0,8499.0,0,0,0,0,0,0
366,14ac9a7a,1.0,10924.0,0,0,1,0,0,0
367,14b6ab24,1.0,12758.0,1,0,0,0,1,0
368,14ba67bf,1.0,2772.0,1,0,0,1,0,0
369,14db5ee5,1.0,6846.0,0,0,1,1,0,0
370,14ecd212,1.0,6929.0,0,0,0,0,0,0
371,150b08ea,1.0,283.0,0,0,0,0,0,1
372,150dfa29,1.0,8471.0,0,0,0,0,0,0
373,151023d2,1.0,291.0,0,0,1,0,0,0
374,152fad59,1.0,6917.0,0,0,0,0,0,0
375,153e4972,1.0,6343.0,0,1,0,0,0,0
376,1547f96a,1.0,1406.0,0,0,0,1,0,0
377,157182dd,1.0,304.0,0,0,0,0,0,0
378,1582af5b,1.0,6930.0,0,0,0,1,0,0
379,158ebc3b,1.0,277.0,0,0,0,0,0,1
380,158f89b2,1.0,10744.0,0,1,0,0,0,0
381,1597eb84,1.0,7657.0,1,0,0,1,0,0
382,15a68aba,1.0,6720.0,1,0,0,0,1,0
383,15a99085,1.0,12227.0,1,0,0,1,0,0
384,15b095ec,1.0,9902.0,0,0,1,1,0,0
385,15b26774,1.0,8443.0,1,0,0,0,0,0
386,15b8298d,1.0,7700.0,0,0,1,1,0,0
387,15bdb4fe,1.0,1341.0,0,0,1,1,0,0
388,15be2d88,1.0,3660.0,0,0,0,0,1,0
389,15d8ec75,1.0,284.0,0,0,0,1,0,0
390,15e75325,1.0,8190.0,0,0,0,0,0,0
391,15ea8012,1.0,12788.0,1,0,0,1,0,0
392,16004086,1.0,10464.0,1,0,0,1,0,0
393,16078864,1.0,10323.0,0,0,0,1,0,0
394,16242974,1.0,6370.0,1,0,0,1,0,0
395,16319654,1.0,7336.0,0,0,1,1,0,0
396,164fa3da,1.0,2741.0,1,0,0,0,0,0
397,164fe220,1.0,2679.0,1,0,0,0,0,0
398,1651493d,1.0,1302.0,0,0,0,0,0,0
399,165a5bed,1.0,11890.0,0,0,0,0,0,0
400,165b8c0e,1.0,4584.0,0,0,1,0,0,0
401,166b4519,1.0,17199.0,0,0,0,0,0,1
402,166f19e2,1.0,12549.0,0,0,0,0,1,0
403,1676617e,1.0,10884.0,1,0,0,0,0,1
404,168667c9,1.0,10338.0,0,0,0,0,0,0
405,168871d5,1.0,12800.0,0,0,0,1,0,0
406,16a20158,1.0,304.0,0,0,0,1,0,0
407,16a36d4c,1.0,1310.0,0,0,0,1,0,0
408,16a68821,1.0,15385.0,1,0,0,0,0,0
409,16aa53a8,1.0,11415.0,0,0,1,0,0,1
410,16b8baba,1.0,9260.0,0,0,1,0,0,0
411,16d494cd,1.0,9288.0,0,0,1,0,0,0
412,16ef647b,1.0,8442.0,1,0,0,0,0,0
413,16fa761a,1.0,2787.0,1,0,0,0,0,0
414,16fe7a20,1.0,7337.0,0,0,1,0,0,0
415,170b5fbd,1.0,8469.0,0,0,0,1,0,0
416,171cd331,1.0,6357.0,1,0,0,0,1,0
417,171e75cb,1.0,6916.0,0,0,1,0,0,0
418,17277af2,1.0,12464.0,0,1,0,1,0,0
419,173e1ae9,1.0,6371.0,1,0,0,0,0,0
420,17554690,1.0,13333.0,0,0,0,0,1,0
421,175d5b0c,1.0,3371.0,0,0,1,1,0,0
422,17638b36,1.0,7714.0,1,0,0,0,0,0
423,176702df,1.0,10365.0,0,1,0,0,0,0
424,1771e390,1.0,975.0,1,0,0,0,0,0
425,1776054f,1.0,9330.0,1,0,0,0,0,0
426,177fdc08,1.0,1342.0,0,0,1,1,0,0
427,179720f1,1.0,3371.0,0,0,1,0,0,0
428,179ae39f,1.0,2751.0,1,0,0,0,0,0
429,17aeef5e,1.0,10394.0,0,0,0,0,0,0
430,17b65b04,1.0,276.0,0,0,0,0,0,0
431,17ce81a2,1.0,15383.0,1,0,0,0,0,0
432,17de3727,1.0,6581.0,0,0,0,0,1,0
433,180200a4,1.0,506.0,1,0,0,1,0,0
434,180ad32c,1.0,6356.0,1,0,0,1,0,0
435,180aeb73,1.0,12788.0,0,0,0,0,0,0
436,1812d821,1.0,2718.0,1,0,0,0,0,1
437,1815738a,1.0,506.0,1,0,0,0,0,0
438,181bc413,1.0,6845.0,0,0,1,1,0,0
439,182d39ed,1.0,10434.0,1,0,0,1,0,0
440,184dc8d0,1.0,6356.0,1,0,0,0,0,0
441,18594cce,1.0,10366.0,0,1,0,0,0,0
442,185b5b21,1.0,7392.0,0,1,0,0,0,0
443,185bfa26,1.0,8441.0,1,0,0,0,1,0
444,188aa475,1.0,10322.0,0,0,1,0,0,1
445,18a4c4db,1.0,15805.0,0,0,0,0,0,0
446,18b92214,1.0,283.0,1,0,0,1,0,0
447,18c09d85,1.0,3359.0,1,0,0,0,1,0
448,18cec357,1.0,2796.0,1,0,0,0,0,1
449,18eae5b1,1.0,10477.0,1,0,0,0,0,0
450,18eb43b0,1.0,6356.0,1,0,0,0,1,0
451,18eb514d,1.0,284.0,0,0,0,0,1,0
452,18ebadf0,1.0,9288.0,1,0,0,1,0,0
453,18f28620,1.0,12732.0,0,0,0,0,0,1
454,19009af4,1.0,2682.0,0,1,0,0,0,0
455,190dbdee,1.0,6845.0,0,0,1,0,0,1
456,1910383a,1.0,8511.0,1,0,0,1,0,0
457,1914d2c4,1.0,7321.0,0,1,0,0,1,0
458,192e84d1,1.0,6371.0,0,1,0,0,0,0
459,19352019,1.0,291.0,0,0,0,0,1,0
460,1935d02d,1.0,3109.0,1,0,0,0,0,0
461,19388c78,1.0,11976.0,0,0,1,0,0,0
462,19449c8b,1.0,6357.0,1,0,0,0,0,0
463,195762ac,1.0,9678.0,1,0,0,1,0,0
464,195dafaf,1.0,12548.0,0,1,0,0,0,1
465,19731c9d,1.0,2718.0,0,1,0,1,0,0
466,19750fed,1.0,2705.0,0,1,0,0,0,0
467,1978edfa,1.0,3107.0,1,0,0,0,0,0
468,19876c5b,1.0,10295.0,0,0,0,0,0,0
469,198a5347,1.0,6705.0,0,1,0,0,0,1
470,199cf3c4,1.0,884.0,0,0,1,1,0,0
471,19ad16f0,1.0,6846.0,0,0,1,1,0,0
472,19b0c189,1.0,6355.0,1,0,0,1,0,0
473,19b22277,1.0,8609.0,1,0,0,1,0,0
474,19c96547,1.0,6328.0,0,0,1,1,0,0
475,19ed4344,1.0,8443.0,0,0,0,1,0,0
