person,Frecuencia
01798556,Nunca
017a84d1,Nunca
017a9049,Nunca
017d35dc,Nunca
017fd805,Frecuente
01855dab,Nunca
018598e8,Esporadico
018774cf,Nunca
018954fd,Nunca
018c1154,Nunca
0190f87d,Nunca
01914d78,Nunca
0195ed3b,Nunca
0196054a,Nunca
01984bc3,Nunca
019ac712,Nunca
019c24ae,Nunca
019c7c78,Nunca
01a20e81,Nunca
01a46372,Frecuente
01a5aa29,Nunca
01ab5296,Nunca
01ac5844,Nunca
01ada784,Esporadico
01add051,Nunca
01af6573,Nunca
01b08442,Nunca
01b09758,Esporadico
01b12d02,Nunca
01b47d4f,Nunca
01b65cfa,Nunca
01b860b1,Nunca
01b91332,Nunca
01b97cb9,Esporadico
01be1d14,Nunca
01c0bf0e,Nunca
01c407bd,Nunca
01c631cf,Nunca
01c862be,Nunca
01c9f8d2,Frecuente
01cbe6b3,Nunca
01cd8ca8,Nunca
01cf1230,Nunca
01d18619,Nunca
01d28bce,Nunca
01e18191,Nunca
01e2b6b0,Nunca
01e5ebc1,Nunca
01edff26,Nunca
01f12f08,Nunca
01f20b0a,Nunca
01f2283b,Nunca
01f24fc9,Nunca
01f38aae,Frecuente
01f68b1f,Nunca
01f8fa5b,Nunca
01fcd7ca,Nunca
01fe7232,Nunca
01fee5bd,Nunca
01ffc611,Nunca
02005e21,Frecuente
0202e763,Nunca
0204dcec,Nunca
0205d5c1,Nunca
020b50dc,Nunca
020ca6bf,Nunca
02103564,Nunca
0211b4be,Nunca
0211eed9,Casi nunca
021b35b5,Nunca
021e1312,Nunca
021ececb,Nunca
021f11c8,Nunca
02208eb6,Nunca
0222570f,Nunca
02238440,Nunca
0224b8b0,Nunca
0225de65,Nunca
02274195,Nunca
0227ae9b,Nunca
0228b475,Nunca
0228c93a,Nunca
02298b4a,Nunca
022b69a7,Nunca
022bd951,Nunca
022c05dd,Nunca
022c083c,Nunca
022ca64b,Nunca
023039b3,Nunca
0233c7ed,Esporadico
0234045a,Nunca
0234e8f5,Nunca
0234f3d7,Nunca
0235896a,Nunca
02363ce4,Nunca
023fafbb,Nunca
02417ee2,Esporadico
0244969f,Nunca
0246242b,Nunca
0247c9fc,Nunca
024803ab,Nunca
02481958,Nunca
024b9c24,Nunca
024ceac4,Nunca
024ffb9b,Nunca
0256b30a,Nunca
0256c879,Nunca
0256dfc5,Nunca
02603929,Nunca
02633ebf,Nunca
026b4007,Nunca
026b66ef,Nunca
0270a59f,Nunca
027870af,Esporadico
0279a6c7,Nunca
027b809f,Frecuente
027cb5c9,Nunca
027e9637,Nunca
0280a93d,Frecuente
0287661f,Nunca
02878a11,Nunca
028ed1ae,Nunca
028f05c4,Nunca
02973cb9,Nunca
0297fc1e,Nunca
029889eb,Casi nunca
029a5c8b,Nunca
029e25de,Nunca
029e5749,Nunca
02a11379,Nunca
02a14ee3,Nunca
02a6da92,Nunca
02a72984,Nunca
02a88a33,Nunca
02a9fd4c,Esporadico
02aa0266,Nunca
02aa734f,Nunca
02b02d37,Nunca
02b0cd5c,Nunca
02b13444,Nunca
02b51109,Nunca
02b8d9d5,Nunca
02ba6bb6,Nunca
02ba82a5,Nunca
02bda531,Nunca
02bf0143,Nunca
02c2eb63,Nunca
02c30caa,Esporadico
02c3960c,Frecuente
02c66b97,Nunca
02c73278,Nunca
02c9e5c7,Nunca
02c9f7a6,Nunca
02cec30a,Nunca
02d1f846,Nunca
02d42846,Nunca
02d80cb2,Nunca
02d93f65,Nunca
02dbbcba,Nunca
02dd38ce,Casi nunca
02de19f7,Nunca
02e0a3c2,Nunca
02e1a150,Nunca
02e465f4,Frecuente
02e5a11c,Nunca
02e65ce8,Nunca
02e72974,Nunca
02e7d329,Nunca
02ea26c5,Nunca
02eb0a9e,Nunca
02ecd2d2,Nunca
02ecfb15,Frecuente
02eefc32,Nunca
02f01ea9,Nunca
02f14240,Nunca
02f2b7b1,Nunca
02f578dc,Nunca
02f5c581,Nunca
02f792fc,Nunca
02fb0b61,Nunca
02fb0bea,Nunca
02fb1a77,Nunca
02fc0bf8,Casi nunca
02ff33f4,Nunca
030071f1,Nunca
03042e4a,Nunca
03066c47,Nunca
030712a0,Nunca
0307f75d,Esporadico
030c5d84,Nunca
030c803c,Nunca
030cdb09,Nunca
03100f48,Nunca
0310a8cd,Nunca
0311c318,Nunca
031bee81,Nunca
031e80e3,Nunca
031ee7cc,Nunca
031fcae5,Nunca
0321ecd6,Nunca
03264a2e,Nunca
0328af6d,Nunca
032a13f5,Esporadico
032c90dd,Nunca
032ecde2,Nunca
032fb2c8,Nunca
0330b185,Nunca
0332afbe,Nunca
0337d5ce,Esporadico
0338a1ea,Frecuente
03413393,Nunca
0341c285,Nunca
0341e2a2,Nunca
03421604,Nunca
0343534b,Nunca
03439225,Nunca
03490d00,Nunca
034ab8b8,Nunca
034aee83,Nunca
034e4f2f,Frecuente
034ec132,Nunca
034fbc8a,Nunca
0352d9b3,Nunca
03533e4f,Nunca
0353af22,Esporadico
035626f1,Nunca
0357a791,Nunca
035be698,Nunca
035c9c3c,Esporadico
035ff4f3,Nunca
03631044,Nunca
03654863,Nunca
036647bb,Nunca
03665977,Nunca
0366a065,Nunca
0368b777,Frecuente
036cdf5a,Nunca
036d3644,Nunca
03739332,Nunca
03759a7b,Nunca
0378916d,Nunca
037a2f9e,Nunca
037b36f8,Nunca
037c8a2b,Nunca
037f094d,Nunca
0382adc4,Nunca
03836d05,Nunca
03841432,Frecuente
0384b2bd,Nunca
0384dbbf,Nunca
038d2328,Nunca
038e3cd5,Nunca
0391da64,Nunca
0393253c,Nunca
03978515,Nunca
039a1fa7,Nunca
039c02c5,Nunca
039ccd71,Nunca
039d87dc,Nunca
039fe371,Nunca
03a07318,Nunca
03a0d815,Nunca
03a11e22,Nunca
03a67237,Nunca
03a67b1c,Nunca
03a7662e,Nunca
03aa060a,Nunca
03aa82cb,Nunca
03ab59d3,Nunca
03ae1796,Nunca
03b30b1a,Nunca
03b3aa5c,Nunca
03b7f5bb,Frecuente
03b999c7,Casi nunca
03bb6dc9,Nunca
03bcd854,Nunca
03bd1506,Nunca
03bfba07,Esporadico
03c2b5c1,Esporadico
03c2b649,Nunca
03c58152,Nunca
03c5f42d,Nunca
03c6c909,Nunca
03c6dbf0,Nunca
03c72157,Nunca
03c81048,Nunca
03c815a4,Nunca
03cc74c0,Nunca
03cfb24d,Nunca
03d1dc12,Nunca
03d2422e,Nunca
03d242c6,Nunca
03d269f6,Frecuente
03d5db8f,Nunca
03d85b53,Nunca
03da112f,Nunca
03da16b8,Nunca
03db7c49,Frecuente
03dc6595,Nunca
03dde3a4,Nunca
03de79e8,Nunca
03dec268,Nunca
03e36bd0,Nunca
03e50576,Nunca
03e5b74b,Nunca
03e61256,Nunca
03e69cc8,Nunca
03e9630c,Nunca
03ea1c12,Nunca
03eb4dd6,Nunca
03edc574,Nunca
03edef0c,Nunca
03f124c5,Nunca
03f4ffdf,Nunca
03f589a0,Nunca
03f60e32,Nunca
03f7983d,Nunca
03f9455b,Nunca
03f9eb63,Nunca
03fb9fde,Nunca
0401277e,Nunca
04014a58,Nunca
04026e6d,Nunca
04034ae8,Nunca
0403b65b,Nunca
0404e68f,Nunca
0406c39e,Nunca
040ad2f1,Nunca
040f38ba,Nunca
0411efc6,Nunca
04135452,Nunca
0413b563,Nunca
0414bc4c,Nunca
0415c30d,Nunca
041627fe,Nunca
0417a96d,Nunca
041a0301,Nunca
041b49c5,Nunca
041d7e7c,Nunca
041dc1c0,Nunca
041e67c8,Nunca
042467f9,Nunca
042481ae,Nunca
04287e35,Nunca
042b0008,Nunca
042b1af5,Nunca
042ceff2,Nunca
042daf42,Nunca
042e28ac,Nunca
042e3717,Nunca
0432dba1,Nunca
04339a2a,Nunca
04339d40,Frecuente
043498e0,Nunca
04372918,Esporadico
04386a90,Nunca
04392952,Frecuente
043a4def,Nunca
043bbb8c,Esporadico
043da730,Nunca
043ec736,Casi nunca
044009fe,Nunca
04452b51,Nunca
0446080d,Nunca
04462fcd,Nunca
04479796,Nunca
044798c5,Esporadico
0448e78c,Nunca
044bbf67,Nunca
044c7b95,Nunca
044cd20c,Nunca
0450c157,Nunca
0454d395,Nunca
045524b6,Nunca
0457712f,Frecuente
045ed46b,Nunca
045fb3f8,Nunca
04650e70,Nunca
046642cb,Nunca
046d3ba1,Esporadico
046efad8,Nunca
046f4eee,Nunca
046f8ccb,Nunca
04704db7,Nunca
04708f23,Nunca
0471cda1,Nunca
047286c8,Nunca
0473d45c,Esporadico
0473d703,Nunca
047425e8,Nunca
047525d7,Nunca
0478a958,Nunca
047bf097,Nunca
047bf4c8,Nunca
047c5000,Nunca
047eaf93,Esporadico
047ecdfe,Nunca
047fecb5,Nunca
04858d07,Nunca
04868458,Nunca
04877609,Frecuente
0487acc0,Nunca
048a0e28,Nunca
048a9272,Nunca
048b2bed,Nunca
048b7adb,Nunca
048c1643,Nunca
048e6ef0,Nunca
048f0b15,Nunca
048fe060,Nunca
0490bc0a,Nunca
04923a0b,Nunca
049392e4,Nunca
04993f2b,Nunca
049a9e4a,Nunca
049b4dfb,Nunca
049c35a9,Esporadico
049c64d6,Frecuente
049da6d9,Nunca
049eb8ac,Frecuente
04a15614,Nunca
04a1be72,Nunca
04a2caa8,Nunca
04a5bf7c,Nunca
04a68895,Nunca
04afcae5,Nunca
04b0de51,Esporadico
04b134be,Nunca
04b13fd2,Esporadico
04b3cf8f,Nunca
04b69fde,Nunca
04b93ba0,Frecuente
04b93eba,Nunca
04bbc907,Nunca
04bfc38e,Nunca
04c13da6,Nunca
04c39d24,Nunca
04c79bf6,Nunca
04c9c1ed,Nunca
04ccd264,Nunca
04cfa3c4,Nunca
04cfe908,Nunca
04d23d88,Nunca
04d2ee78,Nunca
04d31d7a,Nunca
04d9cb0e,Nunca
04dba417,Nunca
04de8d3e,Nunca
04dfc05f,Nunca
04e15d15,Nunca
04e48a72,Nunca
04e5a487,Nunca
04e667e4,Nunca
04e6d352,Nunca
04e7e01f,Nunca
04edbc20,Nunca
04f00b27,Nunca
04f4febe,Nunca
04fcfce0,Nunca
05076463,Nunca
0507e49a,Nunca
050956cd,Nunca
050bb676,Nunca
050c6066,Nunca
050deaa3,Nunca
050f1a22,Casi nunca
051509f1,Nunca
0515aca9,Nunca
0517f1f4,Nunca
051b11a7,Nunca
051bee61,Nunca
05204945,Nunca
052163a1,Frecuente
052231b9,Nunca
05237699,Nunca
05241c33,Nunca
0527b5ae,Nunca
05288788,Nunca
052a0610,Nunca
052a2d62,Nunca
052adc12,Nunca
052d6778,Nunca
052e394d,Nunca
05313660,Nunca
05349582,Frecuente
05369f37,Nunca
053a1fb6,Nunca
053b53ed,Esporadico
053c8c48,Nunca
053ca79c,Nunca
053db417,Nunca
053e23ce,Nunca
053f578d,Nunca
05415a64,Nunca
05434466,Casi nunca
05445b67,Nunca
05473316,Nunca
05477b14,Nunca
054885ca,Nunca
0548aae1,Nunca
054a0951,Nunca
054b1dd6,Nunca
054b4d4b,Nunca
054c06b7,Nunca
054e8d43,Nunca
0552b617,Nunca
0552ee2b,Nunca
05567c7b,Nunca
0556c3b8,Nunca
05596145,Nunca
055ce8c8,Nunca
0564216a,Nunca
0566e256,Nunca
0566e9c1,Frecuente
0567a51f,Esporadico
056bde30,Nunca
056e7674,Nunca
0577c4e4,Nunca
057a8bc2,Nunca
057aa717,Frecuente
057b8da0,Nunca
057baac6,Nunca
0582076c,Nunca
05832043,Nunca
05842367,Nunca
05845094,Nunca
0589bc9f,Nunca
058c45b3,Nunca
058d33f5,Nunca
058f8a59,Nunca
0592919f,Frecuente
05947543,Nunca
0594ae6a,Nunca
0595673e,Nunca
059bcf05,Nunca
059cb926,Nunca
059d594b,Nunca
05a0feb5,Nunca
05a3f374,Nunca
05a5137c,Nunca
05a565eb,Nunca
05a82598,Nunca
05a99822,Nunca
05a9aa0a,Nunca
05ab0341,Nunca
05aba175,Nunca
05ac0937,Frecuente
05ad382c,Nunca
05b53558,Esporadico
05b7d297,Nunca
05b83408,Nunca
05b98856,Nunca
05ba5474,Nunca
05bbd123,Nunca
05bd7ac9,Nunca
05bf14be,Nunca
05cdf42f,Nunca
05ce4c68,Nunca
05d3c1a1,Nunca
05d6426e,Nunca
05d9ceb0,Esporadico
05e135bf,Frecuente
05e298fd,Nunca
05e2dc41,Nunca
05e62dde,Nunca
05e816e1,Nunca
05e9dc15,Nunca
05ec0416,Nunca
05f5d7e6,Nunca
05f64854,Nunca
05fb7314,Nunca
05fdf4d4,Casi nunca
060080bd,Nunca
06010f51,Nunca
0601784e,Frecuente
06036e3c,Nunca
0603dfa7,Nunca
06054a70,Nunca
06077235,Nunca
060788cf,Nunca
060cd447,Esporadico
060f1915,Nunca
0615817a,Esporadico
0616a3c7,Nunca
0616d0f3,Nunca
061c36f3,Nunca
061dfed7,Nunca
0623d3b0,Nunca
062591e3,Esporadico
06260f15,Nunca
062653c2,Nunca
06271090,Nunca
062814c7,Nunca
06286d66,Nunca
062d7384,Esporadico
062dd1cb,Nunca
062f6d02,Nunca
0630c31f,Nunca
06377ced,Nunca
063af87d,Nunca
063c2027,Nunca
06426e62,Nunca
0645477e,Nunca
06499837,Nunca
064b8baf,Nunca
064e923d,Nunca
064ec6ea,Esporadico
06568d8d,Nunca
0656c4ea,Nunca
065a50b6,Nunca
065b0804,Nunca
065b4fea,Nunca
065d92a9,Nunca
065ead15,Nunca
065f4a95,Esporadico
065f9118,Nunca
06698b9a,Nunca
066a20aa,Nunca
066b16ab,Nunca
066cc592,Nunca
06786046,Nunca
067925f5,Nunca
067d0506,Nunca
067f8d78,Nunca
0680b00d,Nunca
06817d0c,Nunca
06818d49,Esporadico
068273dc,Nunca
06848016,Casi nunca
06872f0b,Nunca
068925fa,Nunca
06892aa4,Nunca
0689e931,Nunca
068b86b4,Nunca
068c6888,Nunca
068f771c,Frecuente
06904f81,Nunca
0694a7e5,Nunca
0696724e,Nunca
06989c88,Nunca
0699cd95,Nunca
069a72e5,Nunca
069af641,Frecuente
069b6014,Nunca
069c5926,Esporadico
069cff7b,Nunca
069dc6e8,Nunca
069e9241,Nunca
06a4dc8f,Nunca
06a557be,Nunca
06a762a5,Nunca
06accde0,Nunca
06ad410f,Esporadico
06aed509,Nunca
06b00a11,Nunca
06b26eb2,Nunca
06b27801,Nunca
06b31ab4,Nunca
06b6e768,Nunca
06b9946b,Nunca
06be1d9b,Nunca
06c033ec,Nunca
06c0a0d5,Nunca
06c1e159,Frecuente
06c1fbb3,Frecuente
06c4d812,Nunca
06c5a2ff,Nunca
06c6384c,Nunca
06c929c1,Nunca
06cd617a,Nunca
06cdc70f,Nunca
06cea49d,Nunca
06cea6ea,Nunca
06d1d6c5,Nunca
06d1dcaa,Nunca
06d322d3,Nunca
06d3a74d,Frecuente
06d450a7,Esporadico
06d54c8f,Nunca
06d72f24,Nunca
06d8c28c,Nunca
06db4ca8,Nunca
06dcde6c,Nunca
06df0741,Nunca
06df5403,Nunca
06e43b24,Nunca
06e4b8c8,Nunca
06e55267,Nunca
06e6349b,Nunca
06ea2c68,Nunca
06ed04d6,Casi nunca
06eeb3e7,Esporadico
06ef2afb,Nunca
06f206fe,Nunca
06f39a3e,Nunca
06f65cf4,Nunca
06f953fe,Nunca
06f9b57a,Esporadico
06fba151,Nunca
07082868,Nunca
0709b7b5,Nunca
070b29c0,Nunca
070e6622,Nunca
070e8c97,Nunca
070f0eff,Nunca
070f9a0b,Nunca
07110547,Nunca
071287f9,Nunca
07129e4c,Nunca
07136e35,Nunca
0718385a,Nunca
071abc4f,Nunca
071e2196,Esporadico
071e79e1,Nunca
0720b80e,Nunca
0720d357,Frecuente
072647a2,Nunca
072a96a1,Nunca
072ec6d2,Nunca
07314959,Nunca
0732ac8c,Nunca
073c89dc,Nunca
073cdd36,Nunca
073fd043,Nunca
0744ba92,Esporadico
07487d3e,Nunca
07535fbd,Nunca
0755e63e,Nunca
07572aeb,Nunca
07578f08,Nunca
075829e4,Nunca
075851dd,Frecuente
075b00a8,Nunca
075c5198,Frecuente
075e85f8,Nunca
075f8c45,Nunca
0763d438,Nunca
0765990d,Nunca
076a4754,Frecuente
076b782d,Nunca
076cf4cd,Nunca
076d2903,Nunca
0773ee15,Nunca
0774872c,Nunca
0776c1f0,Nunca
077ae831,Nunca
077cd12c,Nunca
077d3da7,Nunca
077d4d9f,Nunca
077e8564,Nunca
07865fdb,Nunca
07876886,Nunca
07891a0d,Esporadico
078baec6,Nunca
078bfbd3,Nunca
0794d197,Nunca
079aeac7,Nunca
079bdbe4,Nunca
07a0af0b,Nunca
07a39f46,Nunca
07a578c6,Casi nunca
07a60895,Frecuente
07a887ed,Frecuente
07aabe67,Nunca
07ab5c99,Frecuente
07ad7c88,Esporadico
07aff1c4,Nunca
07b0a7a8,Nunca
07b22fcb,Nunca
07b2319f,Nunca
07b331d6,Nunca
07b7487d,Nunca
07b7d242,Frecuente
07b89976,Nunca
07b96270,Nunca
07b99a01,Nunca
07b9f8ae,Nunca
07ba73bf,Nunca
07c4624f,Nunca
07c8ebeb,Nunca
07c9beeb,Nunca
07ccd549,Nunca
07cdc12c,Casi nunca
07cde923,Esporadico
07cf3937,Nunca
07d02c79,Nunca
07d0810d,Nunca
07d6e133,Nunca
07db4e73,Nunca
07dc9451,Nunca
07e10e17,Nunca
07e631f2,Esporadico
07e662e9,Nunca
07e69681,Nunca
07e6e71f,Nunca
07e6f8c2,Nunca
07ea5933,Nunca
07eda19a,Nunca
07f04dee,Nunca
07f124fe,Nunca
07f26ce1,Nunca
07f2d434,Esporadico
07f40b00,Nunca
07f42646,Frecuente
07f42a13,Nunca
07f4c801,Nunca
07f4fec1,Nunca
07f748d3,Nunca
07f95437,Nunca
07f98981,Nunca
07fb82f1,Nunca
07fe9547,Nunca
07fef028,Nunca
0800358e,Casi nunca
0800bcfb,Nunca
0800f720,Nunca
08033511,Nunca
0803cc15,Nunca
0804633b,Nunca
0806f6c4,Nunca
08081d75,Nunca
080bd4ac,Casi nunca
080e8db0,Nunca
080fcf1a,Nunca
0810558b,Nunca
0810e03c,Nunca
0811a06c,Nunca
0812bda0,Esporadico
08145396,Nunca
081911b4,Nunca
08193101,Nunca
08198e83,Nunca
08206493,Nunca
08208a49,Nunca
082145a8,Nunca
08245544,Nunca
0824c55d,Nunca
0829b4e1,Nunca
082bd9bd,Nunca
082c80d5,Nunca
083426cc,Esporadico
08343c0e,Frecuente
083534b6,Esporadico
0838bd47,Nunca
083b8be7,Frecuente
08425e62,Nunca
084482af,Nunca
08462640,Nunca
08463d5b,Nunca
08466048,Nunca
0847c198,Nunca
084839e3,Nunca
08495405,Nunca
08497626,Nunca
084e26c7,Nunca
084f35c4,Nunca
084f9401,Nunca
08558ce3,Nunca
08583b1c,Nunca
0858c7dd,Nunca
085ef200,Nunca
0869b313,Nunca
086a7c46,Nunca
086b64ea,Nunca
086bfd96,Nunca
0876cae3,Nunca
087a68e3,Nunca
087d0669,Esporadico
087da2e8,Nunca
087de56d,Nunca
087e56be,Nunca
087e6c64,Nunca
087fc8a5,Nunca
08801bfc,Nunca
0880b8e1,Nunca
08837bda,Nunca
0883e978,Nunca
088477ee,Frecuente
0885e75e,Nunca
0889026c,Nunca
088a812a,Nunca
088afb7b,Nunca
088bf9fe,Nunca
088ccfd7,Nunca
088f10a3,Nunca
089563a3,Nunca
08975905,Nunca
0897d00b,Nunca
08991bf9,Esporadico
0899e1ff,Nunca
089aeed8,Esporadico
089cda86,Nunca
089e36af,Nunca
08a60c7c,Nunca
08a6d92f,Nunca
08a82be5,Nunca
08ac8714,Nunca
08ae1a50,Nunca
08ae99c4,Nunca
08b1d536,Frecuente
08b803ee,Nunca
08b82d7c,Nunca
08b833d0,Nunca
08b97372,Nunca
08ba841b,Nunca
08ba97a8,Nunca
08babe3f,Nunca
08c15659,Nunca
08c2e046,Nunca
08c7d6b9,Nunca
08c9da9e,Nunca
08caae70,Nunca
08caeeb7,Nunca
08cb481e,Nunca
08cba418,Nunca
08cfca98,Nunca
08d02ef7,Casi nunca
08d18c71,Esporadico
08d2d2ee,Nunca
08d35e05,Nunca
08d3ac8a,Nunca
08d3db92,Nunca
08d4ec7b,Nunca
08d80b59,Frecuente
08d8adae,Nunca
08e040a4,Nunca
08e0c1c6,Nunca
08e182e9,Nunca
08e3fd0a,Nunca
08e4065d,Esporadico
08e616b7,Nunca
08e643c3,Nunca
08ea4ea5,Nunca
08f06435,Esporadico
08f1e4b3,Nunca
08f36f9d,Nunca
08f4787b,Nunca
08f737af,Nunca
08f88fb5,Nunca
08f9054d,Esporadico
08ff8349,Nunca
0900779d,Nunca
09008386,Nunca
09030d39,Nunca
09088303,Nunca
0908f99e,Nunca
0909c350,Nunca
090a998c,Nunca
090ef175,Esporadico
0914138b,Nunca
0914bd03,Nunca
0916db30,Nunca
09191ecf,Nunca
091987f9,Nunca
091a89ac,Nunca
091d4e3a,Nunca
091f6ce7,Nunca
09252ee6,Nunca
09257c6b,Nunca
0926f776,Nunca
092979db,Nunca
092db484,Nunca
092e593f,Nunca
09352d1f,Nunca
093ba2ef,Nunca
093c3834,Esporadico
093eeb7a,Nunca
09411787,Nunca
0943c42e,Nunca
09475401,Nunca
0947f818,Nunca
09487355,Esporadico
094c8fdb,Nunca
09557165,Esporadico
09581ccf,Nunca
095a98b0,Nunca
095c2666,Nunca
095c5f96,Casi nunca
095d6adb,Nunca
0960e2d5,Nunca
09625a4f,Nunca
0966f2a3,Casi nunca
0967f3a4,Nunca
096934ec,Nunca
096bf242,Nunca
096d0dd4,Nunca
096ebe93,Frecuente
0971097f,Nunca
0973a1f4,Nunca
0974287a,Nunca
0974c232,Nunca
09777e7a,Nunca
097826cb,Nunca
09784bd6,Nunca
0978b7b7,Nunca
09793121,Nunca
097a0d5b,Nunca
097a6b80,Nunca
097c939e,Nunca
097cbc1e,Nunca
09833fa3,Nunca
09837117,Nunca
0983c897,Nunca
09848f4e,Nunca
098b319c,Nunca
098bea44,Esporadico
098c4338,Frecuente
098ece49,Nunca
09921f80,Nunca
0996b69a,Nunca
0996e542,Nunca
0996ef9b,Nunca
09996d10,Nunca
09a458c9,Nunca
09a6536f,Nunca
09a98b11,Nunca
09ac3798,Nunca
09acaccb,Nunca
09aeec33,Nunca
09b0e60b,Nunca
09b24dfd,Nunca
09b43644,Nunca
09b4d769,Nunca
09ba24eb,Nunca
09be0231,Nunca
09c2d603,Esporadico
09c4c6e5,Nunca
09c5914d,Nunca
09c86611,Nunca
09cce7ea,Nunca
09d0b3d9,Nunca
09d0e523,Nunca
09d718cc,Nunca
09d7ddcf,Nunca
09da563f,Nunca
09db6995,Nunca
09dc59af,Nunca
09de733b,Nunca
09e08892,Nunca
09e0db6a,Nunca
09e2bd1a,Nunca
09e4e04b,Esporadico
09e532d7,Nunca
09e63ce7,Nunca
09e890f1,Nunca
09ea35c3,Nunca
09eaaffd,Esporadico
09eb0cc0,Frecuente
09eb8d77,Casi nunca
09ebd175,Nunca
09ec4159,Nunca
09ee02c4,Nunca
09f26d53,Nunca
09f578ac,Nunca
09f5886d,Nunca
09f63491,Nunca
09f6ec08,Nunca
09fc8084,Nunca
09fdf852,Nunca
09fe5eac,Nunca
0a00ddb7,Nunca
0a036ba6,Nunca
0a03cd69,Nunca
0a0441ff,Nunca
0a04f7c9,Nunca
0a05b988,Nunca
0a0647bc,Nunca
0a096974,Nunca
0a09ed37,Nunca
0a0a8e92,Nunca
0a0e720e,Nunca
0a140739,Nunca
0a19537c,Frecuente
0a1991b0,Nunca
0a244119,Nunca
0a244e0b,Nunca
0a24b65b,Nunca
0a262141,Nunca
0a263927,Nunca
0a28383a,Nunca
0a287714,Nunca
0a28dd5e,Casi nunca
0a2a7401,Frecuente
0a2b15f1,Nunca
0a2b91c4,Nunca
0a2bdc5e,Casi nunca
0a2c03b3,Nunca
