person,Frecuencia_Casi_nunca,Frecuencia_Esporadico,Frecuencia_Frecuente,Frecuencia_Nunca
0280a93d,0,0,1,0
02875920,0,0,0,1
0287661f,0,0,0,1
02878a11,0,0,0,1
028d0864,0,0,0,1
028ed1ae,0,0,0,1
028f05c4,0,0,0,1
02973cb9,0,0,0,1
0297fc1e,0,0,0,1
029889eb,1,0,0,0
0299c90c,0,0,0,1
029a5c8b,0,0,0,1
029e25de,0,0,0,1
029e5749,0,0,0,1
02a11379,0,0,0,1
02a14ee3,0,0,0,1
02a510fe,0,0,0,1
02a6d3ac,0,0,0,1
02a6da92,0,0,0,1
02a72984,0,0,0,1
02a88a33,0,0,0,1
02a9fd4c,0,1,0,0
02aa0266,0,0,0,1
02aa734f,0,0,0,1
02aa83c1,0,0,0,1
02aaf943,0,0,0,1
02ac4fca,0,0,0,1
02b02d37,0,0,0,1
02b0cd5c,0,0,0,1
02b10e44,0,0,0,1
02b13444,0,0,0,1
02b51109,0,0,0,1
02b8d9d5,0,0,0,1
02ba6bb6,0,0,0,1
02ba82a5,0,0,0,1
02bda531,0,0,0,1
02bf0143,0,0,0,1
02c2eb63,0,0,0,1
02c30caa,0,1,0,0
02c3960c,0,0,1,0
02c66b97,0,0,0,1
02c73278,0,0,0,1
02c9e5c7,0,0,0,1
02c9f7a6,0,0,0,1
02ce5246,0,0,0,1
02cec30a,0,0,0,1
02d1f846,0,0,0,1
02d42846,0,0,0,1
02d80cb2,0,0,0,1
02d90731,0,0,0,1
02d93f65,0,0,0,1
02dbbcba,0,0,0,1
02dd38ce,1,0,0,0
02de19f7,0,0,0,1
02e0a3c2,0,0,0,1
02e1a150,0,0,0,1
02e465f4,0,0,1,0
02e59a44,0,0,0,1
02e5a11c,0,0,0,1
02e65ce8,0,0,0,1
02e72974,0,0,0,1
02e7d329,0,0,0,1
02ea26c5,0,0,0,1
02eb0a9e,0,0,0,1
02ec2f23,0,0,0,1
02ecd2d2,0,0,0,1
02ecfb15,0,0,1,0
02eefc32,0,0,0,1
02f01ea9,0,0,0,1
02f0635f,0,0,0,1
02f14240,0,0,0,1
02f2b7b1,0,0,0,1
02f578dc,0,0,0,1
02f5c581,0,0,0,1
02f792fc,0,0,0,1
02f82b20,0,0,0,1
02fb0b61,0,0,0,1
02fb0bea,0,0,0,1
02fb1a77,0,0,0,1
02fc0bf8,1,0,0,0
02fe14e6,0,0,0,1
02ff33f4,0,0,0,1
030071f1,0,0,0,1
03020198,0,0,0,1
03042e4a,0,0,0,1
03066c47,0,0,0,1
030712a0,0,0,0,1
0307f75d,0,1,0,0
030c5d84,0,0,0,1
030c803c,0,0,0,1
030cdb09,0,0,0,1
03100f48,0,0,0,1
0310a8cd,0,0,0,1
03110d1d,0,0,0,1
0311c318,0,0,0,1
031481a2,0,0,0,1
0318fd8d,0,0,0,1
031bee81,0,0,0,1
031e80e3,0,0,0,1
031ee7cc,0,0,0,1
031fcae5,0,0,0,1
0321ecd6,0,0,0,1
03264a2e,0,0,0,1
0328af6d,0,0,0,1
032a13f5,0,1,0,0
032c90dd,0,0,0,1
032eb0b8,0,0,0,1
032ecde2,0,0,0,1
032fb2c8,0,0,0,1
03302054,0,0,0,1
0330b185,0,0,0,1
0332afbe,0,0,0,1
0337d5ce,0,1,0,0
0338a1ea,0,0,1,0
03413393,0,0,0,1
0341c285,0,0,0,1
0341e2a2,0,0,0,1
03421604,0,0,0,1
0343534b,0,0,0,1
03439225,0,0,0,1
03490d00,0,0,0,1
034ab8b8,0,0,0,1
034aee83,0,0,0,1
034e4f2f,0,0,1,0
034ec132,0,0,0,1
034fbc8a,0,0,0,1
0352d9b3,0,0,0,1
03533e4f,0,0,0,1
0353af22,0,1,0,0
035626f1,0,0,0,1
0357a791,0,0,0,1
035be698,0,0,0,1
035c9c3c,0,1,0,0
035ff4f3,0,0,0,1
03630617,0,0,0,1
03631044,0,0,0,1
03654863,0,0,0,1
036647bb,0,0,0,1
03665977,0,0,0,1
0366a065,0,0,0,1
0368b777,0,0,1,0
036cdf5a,0,0,0,1
036d3644,0,0,0,1
03739332,0,0,0,1
03754d73,0,0,0,1
03759a7b,0,0,0,1
0378916d,0,0,0,1
037a2f9e,0,0,0,1
037b36f8,0,0,0,1
037bf2d2,0,0,0,1
037c8a2b,0,0,0,1
037f094d,0,0,0,1
037f3cec,0,0,0,1
0382adc4,0,0,0,1
03836d05,0,0,0,1
03841432,0,0,1,0
0384b2bd,0,0,0,1
0384dbbf,0,0,0,1
038d2328,0,0,0,1
038e3cd5,0,0,0,1
0391da64,0,0,0,1
0393253c,0,0,0,1
03978515,0,0,0,1
039a1fa7,0,0,0,1
039c02c5,0,0,0,1
039ccd71,0,0,0,1
039d87dc,0,0,0,1
039fe371,0,0,0,1
03a07318,0,0,0,1
03a0d815,0,0,0,1
03a11e22,0,0,0,1
03a1b4d1,0,0,0,1
03a5acfb,0,0,0,1
03a67237,0,0,0,1
03a67b1c,0,0,0,1
03a7662e,0,0,0,1
03aa060a,0,0,0,1
03aa82cb,0,0,0,1
03ab59d3,0,0,0,1
03ae1796,0,0,0,1
03ae7227,0,0,0,1
03af5596,0,0,0,1
03b30b1a,0,0,0,1
03b3aa5c,0,0,0,1
03b6cecb,0,0,0,1
03b7f5bb,0,0,1,0
03b7f931,0,0,0,1
03b999c7,1,0,0,0
03bb6dc9,0,0,0,1
03bcd854,0,0,0,1
03bd1506,0,0,0,1
03bfba07,0,1,0,0
03c2b5c1,0,1,0,0
03c2b649,0,0,0,1
03c2bb80,0,0,0,1
03c58152,0,0,0,1
03c5f42d,0,0,0,1
03c6c909,0,0,0,1
03c6dbf0,0,0,0,1
03c72157,0,0,0,1
03c81048,0,0,0,1
03c815a4,0,0,0,1
03c99f07,0,0,0,1
03cc74c0,0,0,0,1
03cfb24d,0,0,0,1
03d1dc12,0,0,0,1
03d2422e,0,0,0,1
03d242c6,0,0,0,1
03d269f6,0,0,1,0
03d5db8f,0,0,0,1
03d85b53,0,0,0,1
03da112f,0,0,0,1
03da16b8,0,0,0,1
03db7c49,0,0,1,0
03db8124,0,0,0,1
03dc6595,0,0,0,1
03dde3a4,0,0,0,1
03de79e8,0,0,0,1
03dec268,0,0,0,1
03e36bd0,0,0,0,1
03e50576,0,0,0,1
03e5b74b,0,0,0,1
03e61256,0,0,0,1
03e69cc8,0,0,0,1
03e9630c,0,0,0,1
03ea1c12,0,0,0,1
03eb4dd6,0,0,0,1
03edc574,0,0,0,1
03edef0c,0,0,0,1
03f124c5,0,0,0,1
03f1562e,0,0,0,1
03f4ffdf,0,0,0,1
03f589a0,0,0,0,1
03f60e32,0,0,0,1
03f7983d,0,0,0,1
03f9455b,0,0,0,1
03f9eb63,0,0,0,1
03fb9fde,0,0,0,1
0401277e,0,0,0,1
04014a58,0,0,0,1
04026e6d,0,0,0,1
04034ae8,0,0,0,1
0403b65b,0,0,0,1
0404e68f,0,0,0,1
04068dcd,0,0,0,1
0406c39e,0,0,0,1
0408f3f4,0,0,0,1
040ad2f1,0,0,0,1
040f38ba,0,0,0,1
0411efc6,0,0,0,1
04135452,0,0,0,1
0413b563,0,0,0,1
04145809,0,0,0,1
0414bc4c,0,0,0,1
0415c30d,0,0,0,1
041627fe,0,0,0,1
0417a96d,0,0,0,1
041a0301,0,0,0,1
041b49c5,0,0,0,1
041d7e7c,0,0,0,1
041dc1c0,0,0,0,1
041dc456,0,0,0,1
041e67c8,0,0,0,1
04218827,0,0,0,1
042467f9,0,0,0,1
04247184,0,0,0,1
042481ae,0,0,0,1
04287e35,0,0,0,1
042b0008,0,0,0,1
042b1af5,0,0,0,1
042bd446,0,0,0,1
042ceff2,0,0,0,1
042daf42,0,0,0,1
042e28ac,0,0,0,1
042e3717,0,0,0,1
0432dba1,0,0,0,1
04339a2a,0,0,0,1
04339d40,0,0,1,0
043498e0,0,0,0,1
04372918,0,1,0,0
04386a90,0,0,0,1
04392952,0,0,1,0
043a4def,0,0,0,1
043bbb8c,0,1,0,0
043da730,0,0,0,1
043ec736,1,0,0,0
044009fe,0,0,0,1
04452b51,0,0,0,1
0446080d,0,0,0,1
04462fcd,0,0,0,1
04463f03,0,0,0,1
04479796,0,0,0,1
044798c5,0,1,0,0
0448e78c,0,0,0,1
044bbf67,0,0,0,1
044c7b95,0,0,0,1
044cd20c,0,0,0,1
044df6bc,0,0,0,1
0450c157,0,0,0,1
0454bd8b,0,0,0,1
0454d395,0,0,0,1
045524b6,0,0,0,1
0457712f,0,0,1,0
045a01b7,0,0,0,1
045ccfc6,0,0,0,1
045ed46b,0,0,0,1
045fb3f8,0,0,0,1
046261a1,0,0,0,1
04650e70,0,0,0,1
046642cb,0,0,0,1
046d3ba1,0,1,0,0
046efad8,0,0,0,1
046f4eee,0,0,0,1
046f8ccb,0,0,0,1
04704db7,0,0,0,1
04706d48,0,0,0,1
04708f23,0,0,0,1
0471cda1,0,0,0,1
047286c8,0,0,0,1
0473d45c,0,1,0,0
0473d703,0,0,0,1
047425e8,0,0,0,1
047525d7,0,0,0,1
0478a958,0,0,0,1
047bf097,0,0,0,1
047bf4c8,0,0,0,1
047c5000,0,0,0,1
047eaf93,0,1,0,0
047ecdfe,0,0,0,1
047fecb5,0,0,0,1
0482fc3a,0,0,0,1
04858d07,0,0,0,1
048623e1,0,0,0,1
04868458,0,0,0,1
04877609,0,0,1,0
0487acc0,0,0,0,1
048a0e28,0,0,0,1
048a9272,0,0,0,1
048b2bed,0,0,0,1
048b7adb,0,0,0,1
048c1643,0,0,0,1
048e6ef0,0,0,0,1
048e8a05,0,0,0,1
048f0b15,0,0,0,1
048fe060,0,0,0,1
0490bc0a,0,0,0,1
04923a0b,0,0,0,1
049392e4,0,0,0,1
04993f2b,0,0,0,1
049a9e4a,0,0,0,1
049b4dfb,0,0,0,1
049c35a9,0,1,0,0
049c64d6,0,0,1,0
049da6d9,0,0,0,1
049eb8ac,0,0,1,0
04a15614,0,0,0,1
04a1be72,0,0,0,1
04a2caa8,0,0,0,1
04a31cb9,0,0,0,1
04a5bf7c,0,0,0,1
04a68895,0,0,0,1
04a89fe5,0,0,0,1
04ac1d2b,0,0,0,1
04ae2dfe,0,0,0,1
04afcae5,0,0,0,1
04b0de51,0,1,0,0
04b134be,0,0,0,1
04b13fd2,0,1,0,0
04b3cf8f,0,0,0,1
04b69fde,0,0,0,1
04b93ba0,0,0,1,0
04b93eba,0,0,0,1
04bbc907,0,0,0,1
04bfc38e,0,0,0,1
04c13da6,0,0,0,1
04c39d24,0,0,0,1
04c79bf6,0,0,0,1
04c7ed44,0,0,0,1
04c8323e,0,0,0,1
04c9c1ed,0,0,0,1
04ccd264,0,0,0,1
04cfa3c4,0,0,0,1
04cfe908,0,0,0,1
04d23d88,0,0,0,1
04d2d0ee,0,0,0,1
04d2ee78,0,0,0,1
04d31d7a,0,0,0,1
04d814ae,0,0,0,1
04d9cb0e,0,0,0,1
04dba417,0,0,0,1
04dc5661,0,0,0,1
04de8d3e,0,0,0,1
04ded3e6,0,0,0,1
04dfc05f,0,0,0,1
04e15d15,0,0,0,1
04e48a72,0,0,0,1
04e5a487,0,0,0,1
04e667e4,0,0,0,1
04e6d352,0,0,0,1
04e7e01f,0,0,0,1
04edbc20,0,0,0,1
04ee8093,0,0,0,1
04f00b27,0,0,0,1
04f2e560,0,0,0,1
04f4febe,0,0,0,1
04fcfce0,0,0,0,1
05076463,0,0,0,1
0507e49a,0,0,0,1
0507e8f2,0,0,0,1
050956cd,0,0,0,1
0509bcf4,0,0,0,1
050bb676,0,0,0,1
050c6066,0,0,0,1
050deaa3,0,0,0,1
050f1a22,1,0,0,0
051509f1,0,0,0,1
0515aca9,0,0,0,1
0517f1f4,0,0,0,1
0518b8f2,0,0,0,1
051b11a7,0,0,0,1
051bee61,0,0,0,1
05204945,0,0,0,1
052078d1,0,0,0,1
052163a1,0,0,1,0
052231b9,0,0,0,1
0522a4fa,0,0,0,1
05237699,0,0,0,1
05241c33,0,0,0,1
0527b5ae,0,0,0,1
05288788,0,0,0,1
052a0610,0,0,0,1
052a2d62,0,0,0,1
052adc12,0,0,0,1
052d6778,0,0,0,1
052e394d,0,0,0,1
05313660,0,0,0,1
05349582,0,0,1,0
05369f37,0,0,0,1
053a1fb6,0,0,0,1
053b53ed,0,1,0,0
053c8c48,0,0,0,1
053ca79c,0,0,0,1
053db417,0,0,0,1
053e23ce,0,0,0,1
053f578d,0,0,0,1
054013e8,0,0,0,1
05415a64,0,0,0,1
05434466,1,0,0,0
05445b67,0,0,0,1
05458471,0,0,0,1
05473316,0,0,0,1
05477b14,0,0,0,1
054885ca,0,0,0,1
0548aae1,0,0,0,1
054a0951,0,0,0,1
054b1dd6,0,0,0,1
054b4d4b,0,0,0,1
054c06b7,0,0,0,1
054e8d43,0,0,0,1
0552b617,0,0,0,1
0552ee2b,0,0,0,1
05566ef0,0,0,0,1
05567c7b,0,0,0,1
0556c3b8,0,0,0,1
05596145,0,0,0,1
055ce8c8,0,0,0,1
0564216a,0,0,0,1
0566e256,0,0,0,1
0566e9c1,0,0,1,0
05673798,0,0,0,1
0567a51f,0,1,0,0
056bde30,0,0,0,1
056e7674,0,0,0,1
056f89d4,0,0,0,1
0577c4e4,0,0,0,1
057a408e,0,0,0,1
057a8bc2,0,0,0,1
057aa717,0,0,1,0
057b8da0,0,0,0,1
057baac6,0,0,0,1
0582076c,0,0,0,1
05832043,0,0,0,1
05842367,0,0,0,1
05845094,0,0,0,1
0589bc9f,0,0,0,1
058c45b3,0,0,0,1
058d33f5,0,0,0,1
058e5305,0,0,0,1
058f8a59,0,0,0,1
05901e74,0,0,0,1
0592919f,0,0,1,0
05947543,0,0,0,1
0594ae6a,0,0,0,1
0595673e,0,0,0,1
059bcf05,0,0,0,1
059cb926,0,0,0,1
059d594b,0,0,0,1
059f4e3c,0,0,0,1
05a0feb5,0,0,0,1
05a3f374,0,0,0,1
05a5137c,0,0,0,1
05a565eb,0,0,0,1
05a82598,0,0,0,1
05a99822,0,0,0,1
05a9aa0a,0,0,0,1
05ab0341,0,0,0,1
05aba175,0,0,0,1
05ac0937,0,0,1,0
05ad382c,0,0,0,1
05b22e4c,0,0,0,1
05b53558,0,1,0,0
05b7d297,0,0,0,1
05b83408,0,0,0,1
05b98856,0,0,0,1
05ba5474,0,0,0,1
05bbd123,0,0,0,1
05bd7ac9,0,0,0,1
05bdae94,0,0,0,1
05bf14be,0,0,0,1
05cdf42f,0,0,0,1
05ce4c68,0,0,0,1
05d3c1a1,0,0,0,1
05d47572,0,0,0,1
05d6426e,0,0,0,1
05d9ceb0,0,1,0,0
05df8dea,0,0,0,1
05e135bf,0,0,1,0
05e298fd,0,0,0,1
05e2dc41,0,0,0,1
05e62dde,0,0,0,1
05e816e1,0,0,0,1
05e9dc15,0,0,0,1
05ec0416,0,0,0,1
05ede960,0,0,0,1
05f5d7e6,0,0,0,1
05f64854,0,0,0,1
05f9aabd,0,0,0,1
05fab3e2,0,0,0,1
05fb7314,0,0,0,1
05fdf4d4,1,0,0,0
060080bd,0,0,0,1
06010f51,0,0,0,1
0601784e,0,0,1,0
06036e3c,0,0,0,1
0603dfa7,0,0,0,1
06054a70,0,0,0,1
06077235,0,0,0,1
060788cf,0,0,0,1
060cd447,0,1,0,0
060f1915,0,0,0,1
0615817a,0,1,0,0
0616a3c7,0,0,0,1
0616d0f3,0,0,0,1
061c36f3,0,0,0,1
061dfed7,0,0,0,1
06230959,0,0,0,1
0623d3b0,0,0,0,1
062591e3,0,1,0,0
06260f15,0,0,0,1
062653c2,0,0,0,1
06271090,0,0,0,1
062814c7,0,0,0,1
06286d66,0,0,0,1
062d7384,0,1,0,0
062dd1cb,0,0,0,1
062f6d02,0,0,0,1
0630c31f,0,0,0,1
06340412,0,0,0,1
06377ced,0,0,0,1
063af87d,0,0,0,1
063c2027,0,0,0,1
06426e62,0,0,0,1
0645477e,0,0,0,1
06499837,0,0,0,1
064b8baf,0,0,0,1
064c6841,0,0,0,1
064e0d21,0,0,0,1
064e923d,0,0,0,1
064ec6ea,0,1,0,0
06568d8d,0,0,0,1
0656c4ea,0,0,0,1
065a50b6,0,0,0,1
065b0804,0,0,0,1
065b4fea,0,0,0,1
065d92a9,0,0,0,1
065ead15,0,0,0,1
065f4a95,0,1,0,0
065f9118,0,0,0,1
06627564,0,0,0,1
06698b9a,0,0,0,1
066a20aa,0,0,0,1
066b16ab,0,0,0,1
066cc592,0,0,0,1
066d8e1d,0,0,0,1
066e3023,0,0,0,1
0673c72a,0,0,0,1
06786046,0,0,0,1
06790571,0,0,0,1
067925f5,0,0,0,1
06793b28,0,0,0,1
067d0506,0,0,0,1
067f8d78,0,0,0,1
0680b00d,0,0,0,1
06817d0c,0,0,0,1
06818d49,0,1,0,0
06824520,0,0,0,1
068273dc,0,0,0,1
06848016,1,0,0,0
06872f0b,0,0,0,1
068925fa,0,0,0,1
06892aa4,0,0,0,1
0689e931,0,0,0,1
068af20b,0,0,0,1
068b6fbb,0,0,0,1
068b86b4,0,0,0,1
068b993a,0,0,0,1
068c6888,0,0,0,1
068f771c,0,0,1,0
06904f81,0,0,0,1
0694a7e5,0,0,0,1
0696724e,0,0,0,1
0697a4c2,0,0,0,1
06989c88,0,0,0,1
0699cd95,0,0,0,1
069a72e5,0,0,0,1
069af641,0,0,1,0
069b6014,0,0,0,1
069c5926,0,1,0,0
069cff7b,0,0,0,1
069dc6e8,0,0,0,1
069e9241,0,0,0,1
06a4dc8f,0,0,0,1
06a557be,0,0,0,1
06a762a5,0,0,0,1
06accde0,0,0,0,1
06ad410f,0,1,0,0
06aed509,0,0,0,1
06aeda65,0,0,0,1
06b00a11,0,0,0,1
06b1c34c,0,0,0,1
06b26eb2,0,0,0,1
06b27801,0,0,0,1
06b31ab4,0,0,0,1
06b3441e,0,0,0,1
06b6e768,0,0,0,1
06b9946b,0,0,0,1
06be1d9b,0,0,0,1
06c033ec,0,0,0,1
