,person,cant_accesos_north,cant_accesos_center_west,cant_accesos_southeast,cant_accesos_south,cant_accesos_northeast
133,5f5a1be2,0,0,2,0,0
134,2fa65383,0,0,0,0,4
135,f2ab91ec,0,0,4,0,0
136,f7e13865,0,0,10,0,0
137,f70a331b,0,0,10,0,0
138,49fffa02,0,0,0,0,2
139,69fe770b,0,0,0,1,0
140,73b5ddeb,0,0,42,0,0
141,26855b91,0,0,0,5,0
142,fadfa4be,0,0,33,0,0
143,85b68a3f,0,0,3,0,0
144,3aae4375,0,0,0,11,0
145,10206a98,0,0,0,0,1
146,66fe40df,0,0,0,0,0
147,2beddf66,0,0,0,0,0
148,b2194067,0,0,0,0,11
149,b3cab894,0,0,5,0,0
150,17b858f9,0,0,0,0,0
151,f75b14e8,0,0,0,0,2
152,67ec6a13,0,0,9,0,0
153,448ec8f9,0,0,0,0,0
154,83e7b706,0,0,37,0,0
155,7f198108,0,0,0,0,0
156,65db54a5,0,0,5,0,0
157,adaa9274,0,0,2,0,0
158,2466dcee,0,0,5,0,0
159,bbac557c,0,0,6,0,0
160,571a9f5c,0,0,4,0,0
161,13587a1e,0,0,3,0,0
162,feeb5b65,1,0,0,0,5
163,57d078f9,0,0,0,4,0
164,6791adff,0,0,0,0,2
165,2596d1cf,0,0,1,0,0
166,0b54d2aa,0,0,0,37,0
167,c0d67259,0,0,0,0,1
168,2fca45c7,0,0,0,0,0
169,eb39eec0,0,0,0,0,107
170,3d52f0ca,4,0,4,0,1
171,ee7d1909,0,0,0,2,0
172,9474919f,0,0,1,0,0
173,b87bf3c0,0,0,41,0,0
174,229a0726,0,0,0,0,1
175,e28fa553,0,7,0,0,0
176,e2d69e04,0,0,4,0,0
177,f99328eb,0,0,0,0,24
178,7a98e5bb,0,0,2,0,0
179,99a29f1c,0,17,0,0,0
180,6f4de109,0,5,0,11,0
181,ad8cebac,0,0,0,0,5
182,60d720a3,0,0,0,0,3
183,8f6d708a,0,0,0,0,8
184,8d8b76a6,1,0,0,0,2
185,4157ce5c,0,0,5,0,0
186,3fd161b1,0,0,2,0,0
187,91a293e8,0,7,4,0,0
188,54e0c518,0,0,0,0,0
189,1d389b2e,0,0,1,0,0
190,ad4976a0,0,0,4,0,0
191,dbff7610,0,0,0,7,0
192,c104bc78,0,0,17,0,0
193,b3bf2435,0,0,0,0,0
194,7a1b40b7,0,0,1,0,0
195,8611216e,0,0,0,0,14
196,560e7db4,0,0,1,0,0
197,2454293c,0,0,0,0,6
198,0af42006,0,0,0,0,13
199,82d31364,0,0,0,0,1
200,1a898f43,0,0,1,0,0
201,f1f2d6aa,0,0,11,0,0
202,f16503b1,0,0,0,0,0
203,45a66d74,0,0,26,0,0
204,45599974,0,0,2,0,8
205,b8112306,0,0,0,0,1
206,7e317918,0,3,0,0,0
207,5577775a,0,0,0,0,0
208,dd2ed1b6,0,0,0,0,9
209,0fe5d58d,0,0,4,0,0
210,a30504be,0,0,3,0,0
211,18a1de79,0,0,0,0,11
212,f88200f4,0,0,29,0,0
213,d180a63f,0,0,0,0,1
214,97267956,0,0,18,0,0
215,2fec9bbc,0,0,5,0,0
216,c7fb76e9,0,0,0,0,2
217,05ad382c,0,0,0,1,0
218,4e5d317d,0,0,2,0,0
219,db9e8233,0,0,0,0,1
220,7f721016,0,0,0,0,0
221,b65be4d3,0,0,22,0,0
222,aaed7b2e,0,0,6,0,0
223,f8e37457,0,0,0,1,0
224,9411a009,0,0,0,0,5
225,166bf528,0,0,5,0,0
226,5429fbb6,0,4,0,0,0
227,fe1f24ff,7,0,0,0,0
228,49ff6d6e,0,0,0,0,5
229,1adea052,0,0,0,0,0
230,0fe5b0f4,0,2,0,0,0
231,19c94e0b,0,0,0,0,18
232,2a727bb0,0,0,4,0,0
233,0ff75b46,0,0,0,0,0
234,c7fba740,0,0,4,0,0
235,224613bb,0,0,0,6,0
236,cd7b5c8e,0,0,0,0,5
237,179720f1,0,0,0,2,0
238,ff9a58dd,0,0,0,0,0
239,1070bca3,0,0,10,0,0
240,a5d31df5,0,0,0,0,3
241,4e5c868d,0,0,0,0,0
242,653f68fe,0,0,1,0,0
243,3ebc771d,0,0,0,0,0
244,c4012f15,0,0,0,2,0
245,517bf648,0,0,1,0,0
246,254f8761,0,0,17,0,0
247,043a4def,0,0,1,0,0
248,ef68bea1,0,0,0,0,2
249,c844a662,0,0,23,0,0
250,7f6c85e8,0,0,0,1,0
251,77397f7b,0,0,0,0,10
252,e4aedddc,0,0,3,0,0
253,35ee0cc8,0,0,1,0,0
254,4b66b31e,0,0,4,0,0
255,125b4a32,0,0,1,0,0
256,c1d99fe2,0,0,0,0,8
257,1b2b8210,0,0,0,0,0
258,55fc24ef,0,0,4,0,0
259,77e489c7,0,0,14,0,0
260,62ba2fba,0,0,0,0,0
261,ae4bfc26,0,0,0,0,1
262,22f1d021,0,0,0,0,0
263,774cbcf2,0,0,2,0,0
264,72368746,0,0,0,0,1
265,aca95b2b,0,0,0,0,0
266,a944289b,0,0,54,0,0
267,55e87de8,1,0,0,0,0
268,c56dff49,0,0,2,0,0
269,ba724fb6,0,0,0,9,0
270,b97b9d93,0,0,0,1,0
271,46cacfef,0,0,0,1,0
272,14b6ab24,0,0,0,0,0
273,f1e00012,0,0,0,0,0
274,7025ac12,0,0,18,0,0
275,bada76d3,0,0,0,51,0
276,70a325eb,0,0,0,5,0
277,fb19ca5a,0,0,8,0,0
278,f6cd21a1,0,0,12,0,0
279,ed806b31,1,0,0,0,0
280,91752493,0,0,0,1,0
281,92059fdf,0,0,1,0,0
282,390f09f1,0,0,0,0,1
283,d9fc5677,0,0,36,0,1
284,4d233ac6,0,0,5,0,0
285,46a1efca,0,0,0,0,0
286,d4c8daf6,0,0,16,0,0
287,fd5bc946,0,0,5,0,0
288,23b90f81,0,5,3,0,0
289,89939b0c,0,0,26,0,0
290,eab407a5,0,0,3,0,0
291,d55a7432,0,0,14,0,0
292,629e1a6e,0,0,0,0,0
293,13698a29,0,0,6,0,0
294,84380983,0,0,6,0,0
295,09d0e523,0,0,25,0,0
296,bde00913,0,0,1,0,0
297,32eb13bb,0,0,1,0,0
298,2606c8da,0,0,1,0,0
299,23e6906d,0,0,4,0,0
300,cf75487d,0,0,0,0,1
301,adf0382e,0,0,0,0,6
302,b17d6c59,0,0,1,0,0
303,e349f752,1,9,0,22,0
304,eb08912b,10,0,0,0,0
305,d4e83772,0,0,7,0,0
306,4bfc1a10,0,0,16,0,0
307,9952a8e0,0,0,0,0,0
308,8c31a66a,0,0,1,0,0
309,edc38036,0,0,6,0,0
310,2abe3533,0,0,0,0,4
311,fbd04b25,0,0,0,0,0
312,e5824d72,0,0,28,0,0
313,b30562d4,0,0,17,0,0
314,02298b4a,0,0,7,0,0
315,e4b71e52,0,0,7,0,0
316,ed39978f,0,0,0,0,29
317,5b7a7697,0,0,0,0,0
318,9fea64a8,0,0,0,0,7
319,a4e3e0ba,0,0,0,0,1
320,1033c7f1,0,1,0,0,0
321,a16a0211,0,0,0,0,0
322,2df10e76,0,0,38,0,0
323,ff89d18f,0,0,4,0,0
324,732df811,0,0,3,0,0
325,de1de15e,0,0,0,0,8
326,80c8726f,0,0,0,0,19
327,e5953f4b,0,0,15,0,0
328,619bff69,0,0,0,0,1
329,ed7382a8,0,0,10,0,0
330,3043e183,0,0,0,0,2
331,8ab5791a,0,0,0,0,4
332,3ae2240d,0,0,0,0,0
333,6929face,0,0,11,0,0
334,06077235,0,0,1,0,0
335,6b5088da,0,0,5,0,0
336,685dc7f7,0,0,11,0,0
337,8eb58541,0,0,0,0,0
338,919bcd48,0,0,0,0,0
339,974fc112,0,0,1,0,0
340,9a00037e,0,2,0,0,0
341,65f36887,5,0,0,0,0
342,d67a6656,0,0,16,0,0
343,efdfb24e,0,0,7,0,0
344,55f7ae64,0,0,3,0,0
345,1498b979,0,0,0,0,0
346,9d279147,0,0,9,0,0
347,8f358327,0,0,0,0,4
348,fed81014,0,0,48,0,0
349,8637463a,0,0,0,0,3
350,92441fa1,0,0,0,0,4
351,455bfbc9,0,0,0,0,0
352,fd5e4491,0,0,7,0,0
353,e9c994b8,0,0,1,0,0
354,e4594222,0,0,0,0,1
355,94042208,0,0,29,0,0
356,d76e28a3,0,0,0,0,5
357,a7b6e286,0,0,0,12,0
358,27038bac,0,0,0,0,0
359,60591a7d,0,0,0,0,0
360,3887b35e,0,0,0,0,2
361,5423158b,0,0,6,0,0
362,991360db,0,0,0,0,2
363,c5a0bc36,0,0,0,0,0
364,11eb4374,0,0,1,0,0
365,7d71558b,0,0,0,0,0
366,3787229d,0,0,0,0,56
367,2287c9f7,0,0,0,0,36
368,0c9d90d6,0,0,0,0,0
369,41bfa3b9,0,0,4,0,0
370,4ed8ab82,0,1,3,0,0
371,d8ca7115,0,0,32,0,0
372,dccd2a57,0,2,0,0,0
373,0885e75e,0,0,0,0,0
374,b00a6f27,0,0,0,6,0
375,8a4b69ec,0,14,1,0,0
376,6ea9ffd2,0,0,0,0,12
377,d0c5aa85,0,0,0,0,62
378,fc4b841d,0,0,1,0,0
379,db1a3c00,0,0,5,0,0
380,cbff6e32,0,0,1,0,0
381,9b4f540a,0,0,1,0,0
382,2a072244,0,0,0,0,2
383,fcb5fb33,0,0,2,0,1
384,72ee021f,0,0,0,0,11
385,050c6066,0,0,1,0,0
386,9d84519b,0,0,0,0,6
387,7ac0c607,0,0,0,0,208
388,af95a93c,0,0,2,0,0
389,12eb49ed,0,0,0,0,27
390,a8ca0988,0,21,0,0,0
391,6f1e155b,0,0,26,0,0
392,e8a1b038,0,0,0,0,1
393,701aed49,0,0,0,0,0
394,3e97d5f3,0,0,3,0,0
395,ad9c339a,0,0,9,0,0
396,bb31d716,0,0,0,0,0
397,b86b400e,0,0,2,0,0
398,10a42267,0,0,3,0,0
399,fd12b306,0,0,12,0,0
400,852abc08,0,0,7,0,0
401,4640420b,0,0,2,32,0
402,ad4b1e5f,0,0,0,1,0
403,2ff5b818,0,0,0,0,0
404,bd608de6,0,0,0,0,4
405,ea23791b,0,0,9,0,0
406,94e7818d,0,0,67,0,0
407,bf15584a,0,0,9,0,0
408,4a3c0db7,0,0,0,0,0
409,5f7f0c55,0,0,0,0,126
410,9e776b51,0,0,0,0,0
411,d793a520,0,0,20,0,0
412,03c58152,0,0,1,0,0
413,900f049c,0,0,0,0,15
414,67ad5c84,0,0,16,0,0
415,9df0e397,0,0,27,0,0
416,03302054,0,0,1,0,0
417,6ecc4591,0,0,7,0,0
418,000e4d9e,0,0,13,0,0
419,67734512,0,0,1,0,0
420,0b994061,0,0,0,0,0
421,b31761cc,0,0,0,1,0
422,cc302ed6,0,1,0,0,0
423,1660fa42,0,0,1,0,0
424,ea76aeec,2,0,0,0,1
425,ad5943a9,0,0,0,0,3
426,f431031a,0,0,0,0,0
427,5dd73565,0,0,0,0,9
428,ee8dd67c,0,0,0,1,0
429,eb199e7f,0,0,1,0,0
430,656072a3,0,0,2,0,0
431,95a388b0,0,0,0,0,0
432,846372d4,0,0,0,0,35
433,d1fd6caa,0,0,0,0,0
434,a618c138,0,0,1,0,0
435,8a0a63af,0,0,2,0,0
436,7642405a,0,0,5,0,0
437,670639bc,0,0,10,0,0
438,ae5b92db,0,0,3,0,0
439,41ccd2c6,0,0,0,0,6
440,8cf7b63c,0,0,4,0,0
441,bdd23ab2,0,0,2,0,0
442,ae56f702,0,0,0,1,0
443,b02fa0dd,0,0,2,0,0
444,eb7165bb,0,0,0,0,0
445,811ec67b,0,1,0,0,0
446,270b42e3,0,0,1,0,1
447,18b81745,0,0,0,0,1
448,69c23290,0,0,8,0,0
449,e3b71e84,0,0,1,0,0
450,ef8b96c3,0,0,0,0,17
451,bb8116c9,0,0,0,0,0
452,594a53d3,0,0,11,0,0
453,108caf2c,0,0,0,0,0
454,1a1a16f8,0,0,0,0,1
455,18a185e1,0,0,0,1,0
456,335116e1,0,5,1,0,0
457,ff9fc164,0,0,0,0,11
458,6f37c9b4,0,0,0,0,2
459,7c3970ce,0,0,2,0,0
460,8a590d23,0,0,0,0,42
461,c746f37c,0,0,0,0,0
462,166a19f7,0,0,4,0,0
463,ee20c405,0,0,8,0,0
464,02b0cd5c,0,0,2,0,0
465,4679e993,0,0,5,0,0
466,814db0b5,0,0,9,0,0
467,b0f9b8a1,0,0,3,0,0
468,73ffc5f4,0,0,0,0,0
469,fb73da39,0,0,7,0,0
470,c299808f,0,0,4,0,0
471,0515aca9,0,0,15,0,0
472,01f68b1f,0,0,0,0,1
473,6474b347,0,0,0,0,16
474,0aa2b925,0,0,0,0,5
475,f4bae3c6,0,0,0,0,1
476,92c81866,0,0,3,0,0
477,6f0826b2,0,0,3,0,0
478,d1a14d14,0,0,0,0,5
479,1b5c5c85,0,0,0,0,1
480,1e13d639,0,0,0,0,1
481,8e59b22b,0,0,0,0,0
482,f7fdbbf4,0,2,0,0,0
483,1c4a2a14,0,0,22,0,0
484,18351296,0,0,13,0,0
485,3956b1e1,0,0,0,0,0
486,ac89253a,0,0,0,0,0
487,431a7bd7,0,0,0,1,0
488,f426ff31,0,0,27,0,0
489,f2c6d57c,0,0,1,0,0
490,29f80519,0,0,0,0,1
491,04b13fd2,0,0,1,0,0
492,ce36e512,0,0,11,0,0
493,8a4ba4e2,0,0,0,0,15
494,1443cf62,0,0,0,0,0
495,209e9ed6,0,0,7,0,0
496,e77c72ed,0,0,0,1,0
497,860a406a,0,0,0,0,2
498,0c9a1b5d,0,0,0,0,5
499,368ab6c6,0,0,2,0,0
500,4a033e24,12,0,0,0,0
501,143c958f,0,0,0,0,0
502,18b908a5,0,0,2,0,0
503,5125c494,0,0,0,0,3
504,604d8035,0,0,5,0,0
505,80866567,0,0,1,0,0
506,9bb623c2,0,0,15,0,0
507,b17515e1,0,0,10,0,0
508,f945213f,0,0,0,0,1
509,ec4b2ac1,0,0,2,0,2
510,a53a1a30,0,0,4,14,0
511,103e0f7d,0,0,43,0,0
512,cd3a841d,0,0,1,0,0
513,fb6b16a8,0,0,10,0,0
514,89f62393,0,0,1,0,0
515,576d1af6,0,0,4,0,0
516,eab48142,0,0,0,5,0
517,013288eb,0,0,3,0,0
518,aa7e2999,0,0,0,0,15
519,724f4de6,0,0,6,0,0
520,2c85b2fa,0,5,7,0,0
521,75950669,0,0,6,0,0
522,d84ae194,0,0,1,145,0
523,77bad6f5,0,0,0,0,0
524,2b213b2c,0,0,0,0,16
525,2a9694c2,0,0,0,0,1
526,4cdf80c5,0,0,1,0,0
527,8808e6a9,0,0,4,0,0
528,05d6426e,0,0,0,0,0
529,91210479,0,0,2,0,0
530,e314ee77,0,0,0,1,0
531,b5a09122,0,0,1,0,0
532,95c8e975,0,0,0,0,1
533,bf46c410,0,0,7,0,0
534,298bd74f,0,0,1,0,0
535,62cf35c3,0,0,0,0,7
536,42cc8a1d,0,0,3,0,0
537,3346c6e7,0,0,1,0,0
538,47a73972,0,12,0,0,0
539,0744ba92,0,0,0,0,0
540,99375801,0,0,5,0,0
541,b9996281,0,0,1,0,0
542,471fb833,0,0,0,0,0
543,ba83de34,0,0,0,0,2
544,ad98de5d,0,0,6,0,0
545,c449fd13,0,0,5,0,0
546,b059104a,0,0,4,0,0
547,c380ceab,0,0,0,0,64
548,ba61790b,0,0,1,0,0
549,deb5fa7a,0,0,7,0,0
550,71d5d6e4,0,0,0,0,7
551,eefc3df6,0,0,11,0,0
552,766c271c,0,0,3,0,0
553,97360881,0,0,1,0,0
554,df127511,0,7,0,0,0
555,f7e04556,0,0,1,0,0
556,32131fa2,0,0,0,0,8
557,36ef2e5f,0,0,10,0,0
558,abe38822,1,4,0,0,0
559,b84057ab,0,0,3,0,0
560,1d417563,0,0,0,0,0
561,0e3c91a6,0,0,0,0,0
562,6a0aa84a,0,0,1,0,0
563,7b2b0da5,0,0,0,0,4
564,efae8f71,0,0,10,0,0
565,31c9f140,0,0,1,0,0
566,a47ab63d,0,0,0,1,0
567,aefc81ce,0,0,1,0,0
568,1fea3435,0,0,0,0,1
569,c28b49d1,0,0,9,0,0
570,ea3c7b75,0,0,1,0,0
571,54d47ad8,0,0,0,0,2
572,db9d2cd7,0,0,7,0,0
573,df80a783,0,0,1,0,3
574,9bc43f7e,0,0,0,0,4
575,3e066076,0,0,1,0,0
576,cdcc4b92,0,0,0,0,1
577,05596145,0,0,0,0,8
578,67bdc946,0,0,0,0,210
579,32234ad9,0,0,4,0,0
580,77b15b7d,0,0,2,0,0
581,2e515d51,0,0,0,0,1
582,6faabdf2,0,0,0,0,5
583,77d64353,0,4,0,1,0
584,37a0837e,0,0,0,0,0
585,303b1701,0,0,2,0,0
586,3dbfcd14,0,0,10,0,0
587,12529b31,0,0,2,0,0
588,5fdd715e,0,0,3,0,0
589,91c02da2,0,0,0,0,16
590,0b4c87e0,0,0,0,0,7
591,fdb438a5,0,0,0,0,0
592,1d762b15,0,0,0,0,0
593,aafb01b8,0,0,8,0,0
594,ce28e8d6,0,0,0,0,3
595,d0c44c5b,0,0,0,1,0
596,a5d74579,0,0,9,0,0
597,9a0373f1,0,0,0,0,0
598,01c0bf0e,0,0,2,0,0
599,dac88f2d,0,0,8,0,0
600,5eb0a22a,0,0,0,0,0
601,9bf77a71,0,0,0,0,0
602,cb0e3cb7,0,0,0,0,16
603,32e355cf,0,0,8,0,0
604,134cc999,0,0,0,0,32
605,5eed4bd7,0,0,0,0,31
606,a008b5c4,0,0,3,0,0
607,3a44e639,0,0,30,0,2
608,2c90f768,0,0,4,0,0
609,fb23d1c3,0,0,0,0,0
610,b189a8b8,0,0,10,0,0
611,a5d3c172,0,0,0,0,21
612,facb2e95,0,0,9,0,0
613,549acb45,0,0,6,0,0
614,583bd9b9,0,0,1,0,0
615,f3135311,0,2,0,0,0
616,883954e0,0,1,0,0,0
617,f5e0b71d,0,0,0,0,2
618,360675d0,0,2,0,0,0
619,cb61f387,0,0,1,0,0
620,017fd805,0,0,2,0,0
621,dbf8ee34,0,0,0,0,1
622,3493d0af,0,0,0,0,3
623,39674437,0,0,0,0,0
624,99e4baf5,0,0,0,16,0
625,de2a1bcb,0,2,0,0,0
626,56b0c4d1,0,26,0,0,0
627,6c5e3983,0,0,4,0,0
628,b5ea45de,1,0,0,0,0
629,8863d7f2,9,0,0,0,0
630,9067fe0c,0,0,20,0,0
631,0518b8f2,0,0,2,0,0
632,e68cc89a,0,0,9,0,0
633,e0848af4,0,0,19,0,0
634,1e663648,0,0,1,0,0
635,811b25fd,0,0,0,0,0
636,cf734779,0,4,3,0,0
637,e918f6bc,0,0,6,0,0
638,24fdfe14,0,0,0,1,0
639,33b6da32,0,0,1,0,0
640,62f88039,0,0,0,0,0
641,d4749650,0,0,8,0,0
642,ed584042,0,0,0,12,0
643,d010170b,7,0,1,0,0
644,f64d2771,0,0,0,0,3
645,27c58569,0,0,1,0,0
646,847b40a8,0,0,0,2,0
647,aea593cd,0,0,0,13,0
648,0d491a97,0,3,0,0,0
649,349d9ae5,0,0,1,0,0
650,a0cf85b8,0,0,1,0,0
651,6775dc29,0,0,4,0,0
652,6d654333,0,0,0,3,0
653,072647a2,0,0,0,0,4
654,daac08c2,0,0,16,0,0
655,a7a651a9,0,0,0,0,0
656,1c340c9b,0,0,0,0,0
657,8ed9e6f4,22,0,0,0,0
658,0f5caeb3,0,0,0,0,0
659,91274e51,0,0,0,0,3
660,d411fd33,0,0,14,0,0
661,078baec6,0,0,5,0,0
662,f3db7ee1,0,0,4,0,0
663,393e3cf5,0,0,0,0,1
664,bfee020e,0,0,8,0,0
665,7aea3adc,0,0,2,0,0
666,5dc80ac6,0,0,0,1,0
667,14442e02,0,0,0,0,0
668,bb62445d,0,0,0,0,31
669,e0158ab4,0,0,2,0,0
670,cd883145,0,0,5,0,1
671,9f562de3,0,0,1,0,0
672,2d1cc146,0,0,0,0,1
673,be8c75e8,0,0,1,0,0
674,ac3ed0b2,0,0,0,0,1
675,a10fe550,0,0,8,0,0
676,5126b888,0,0,0,0,3
677,acc30075,0,0,0,0,3
678,5aea7aa3,0,0,0,0,1
679,3025dc8a,0,0,0,0,10
680,4d35bb5c,0,2,0,0,0
681,d44b69c9,0,0,0,0,0
682,35259134,0,0,0,2,0
683,0d68d38e,0,0,8,0,0
684,08a82be5,0,0,5,0,0
685,5842c17d,0,0,0,5,0
686,b261977e,0,0,7,0,0
687,8aa5e0d6,0,0,8,0,0
688,2136c1f9,8,0,0,0,0
689,9112e797,0,0,5,0,0
690,45228a20,0,0,1,0,0
691,22d002ee,0,0,0,0,9
692,7a3184e8,0,0,1,0,0
693,f33e2cc5,0,0,1,0,0
694,04a15614,0,0,2,0,0
695,ccc5daa4,0,0,0,1,1
696,27d354f3,0,0,19,0,0
697,7f302cb0,0,3,0,0,0
698,e91e1ac2,0,0,8,0,0
699,c0b9e3cb,0,0,4,0,0
700,9df21469,8,0,0,0,0
701,baf3e801,0,0,0,0,0
702,66b1e1fc,0,0,14,0,0
703,fdfa8de9,0,0,0,0,0
704,cdd8bff0,0,0,0,0,4
705,019ac712,0,0,0,0,0
706,c96353d2,0,0,0,0,3
707,7c10a58f,0,0,0,1,0
708,2fb5ba97,0,0,6,0,0
709,b1bd9401,0,0,5,18,0
710,33fd8777,0,0,3,3,0
711,57fda37b,0,0,5,0,0
712,d4eeaa42,0,0,7,0,0
713,8d4871e5,0,0,0,0,13
714,b6188220,0,0,9,0,0
715,d8c206b4,0,0,22,0,0
716,50ddf0e6,0,0,5,0,0
717,4540ea89,0,0,6,0,0
718,84a42761,0,0,23,0,0
719,8e96b9f3,0,0,16,0,0
720,0d4ff378,0,0,0,0,1
721,15a387cc,0,0,0,0,4
722,1b54d657,0,0,5,0,0
723,c662e3b3,0,0,0,0,17
724,e5ca4cf8,0,0,1,0,0
725,3b63c0e7,0,0,0,0,0
726,fb3c6e61,0,0,0,0,1
727,36ed4114,0,0,16,0,0
728,1c895a10,0,0,0,0,0
729,0a76682c,0,0,5,0,0
730,d56c55c5,0,0,0,0,11
731,16240ed7,0,0,8,0,0
732,5ccda85d,0,0,0,0,2
733,963ef1fb,0,0,5,8,0
734,a8ac829f,0,0,1,0,0
735,0899e1ff,1,2,0,0,0
736,e731b77e,0,0,1,16,0
737,9c4c7c4f,0,0,30,0,0
738,469142a7,0,0,11,0,0
739,38a6d1dc,0,0,3,0,0
740,a45ffa3c,0,0,2,0,0
741,ac1583f1,1,0,3,0,0
742,729ae24d,0,0,8,0,0
743,09625a4f,0,0,0,0,0
744,55c12370,0,0,0,0,2
745,3f2878c2,0,0,18,0,1
746,7bc14702,0,0,0,2,0
747,f8b0b255,0,0,22,0,0
748,97701505,0,12,0,0,0
749,404a56c8,0,0,0,0,5
750,845c97aa,0,0,2,0,0
751,3250bb4c,0,0,10,0,0
752,f008fa79,0,0,0,16,0
753,814907c9,0,0,2,0,0
